source_row_id,ledger_entry_id,entry_date,payment_reference,invoice_reference,recorded_amount,tax_amount,tds_amount,entry_type
L093,LED092_L093,2026-08-20,PAY092,INV092,2379.40,0.00,0.00,SALE
L102,LED096R,2026-08-20,PAY096-REFUND,INV096,-703.63,0.00,0.00,REFUND
L022,LED022,2026-08-20,PAY022,INV022,10517.37,0.00,0.00,SALE
L051,LED051,2026-08-20,PAY051,INV051,5647.19,0.00,0.00,SALE
L084,LED084,2026-08-20,PAY084,INV084,4851.99,0.00,0.00,SALE
L059,LED059,2026-08-20,PAY059,INV059,2576.53,0.00,0.00,SALE
L099,LED095,2026-08-20,PAY095,INV095,2669.31,0.00,0.00,SALE
L053,LED053,2026-08-20,PAY053,INV053,4114.62,0.00,0.00,SALE
L052,LED052,2026-08-20,PAY052,INV052,3261.18,0.00,0.00,SALE
L011,LED011,2026-08-20,PAY011,INV011,3396.77,0.00,0.00,SALE
L016,LED016,2026-08-20,PAY016,INV016,8242.38,0.00,0.00,SALE
L091,LED091_L091,2026-08-20,PAY091,INV091,2885.99,0.00,0.00,SALE
L111,LED104,2026-08-20,PAY104,INV104,1034.94,0.00,0.00,SALE
L076,LED076,2026-08-20,PAY076,INV076,2894.57,0.00,0.00,SALE
L067,LED067,2026-08-20,PAY067,INV067,3551.36,0.00,0.00,SALE
L074,LED074,2026-08-20,PAY074,INV074,4589.83,0.00,0.00,SALE
L106,LED099,2026-08-20,PAY099,INV099,11213.65,0.00,112.14,SALE
L096,LED093_L096,2026-08-20,PAY093,INV093,1433.89,0.00,0.00,SALE
L050,LED050,2026-08-20,PAY050,INV050,5567.76,0.00,0.00,SALE
L068,LED068,2026-08-20,PAY068,INV068,626.69,0.00,0.00,SALE
L014,LED014,2026-08-20,PAY014,INV014,3102.74,0.00,0.00,SALE
L032,LED032,2026-08-20,PAY032,INV032,10986.52,0.00,0.00,SALE
L107,LED100,2026-08-20,PAY100,INV100,10834.67,0.00,108.35,SALE
L046,LED046,2026-08-20,PAY046,INV046,3606.94,0.00,0.00,SALE
L085,LED085,2026-08-20,PAY085,INV085,3176.63,0.00,0.00,SALE
L047,LED047,2026-08-20,PAY047,INV047,1649.87,0.00,0.00,SALE
L040,LED040,2026-08-20,PAY040,INV040,8723.68,0.00,0.00,SALE
L095,LED093_L095,2026-08-20,PAY093,INV093,1433.89,0.00,0.00,SALE
L109,LED102,2026-08-20,PAY102,INV102,8750.55,0.00,87.51,SALE
L056,LED056,2026-08-20,PAY056,INV056,9195.60,0.00,0.00,SALE
L019,LED019,2026-08-20,PAY019,INV019,12170.04,0.00,0.00,SALE
L087,LED087,2026-08-20,PAY087,INV087,5832.25,0.00,0.00,SALE
L075,LED075,2026-08-20,PAY075,INV075,1471.42,0.00,0.00,SALE
L048,LED048,2026-08-20,PAY048,INV048,4277.91,0.00,0.00,SALE
L005,LED005,2026-08-20,PAY005,INV005,11086.60,0.00,0.00,SALE
L070,LED070,2026-08-20,PAY070,INV070,4125.95,0.00,0.00,SALE
L020,LED020,2026-08-20,PAY020,INV020,246.51,0.00,0.00,SALE
L010,LED010,2026-08-20,PAY010,INV010,592.49,0.00,0.00,SALE
L015,LED015,2026-08-20,PAY015,INV015,9800.78,0.00,0.00,SALE
L002,LED002,2026-08-20,PAY002,INV002,521.41,0.00,0.00,SALE
L072,LED072,2026-08-20,PAY072,INV072,4406.56,0.00,0.00,SALE
L097,LED094,2026-08-20,PAY094,INV094,5845.77,0.00,0.00,SALE
L071,LED071,2026-08-20,PAY071,INV071,1212.72,0.00,0.00,SALE
L057,LED057,2026-08-20,PAY057,INV057,2691.41,0.00,0.00,SALE
L021,LED021,2026-08-20,PAY021,INV021,12116.42,0.00,0.00,SALE
L104,LED097R,2026-08-20,PAY097-REFUND,INV097,-945.02,0.00,0.00,REFUND
L098,LED094R,2026-08-20,PAY094-REFUND,INV094,-1699.73,0.00,0.00,REFUND
L017,LED017,2026-08-20,PAY017,INV017,3423.54,0.00,0.00,SALE
L043,LED043,2026-08-20,PAY043,INV043,3534.29,0.00,0.00,SALE
L001,LED001,2026-08-20,PAY001,INV001,9645.49,0.00,0.00,SALE
L006,LED006,2026-08-20,PAY006,INV006,10198.99,0.00,0.00,SALE
L036,LED036,2026-08-20,PAY036,INV036,8347.80,0.00,0.00,SALE
L055,LED055,2026-08-20,PAY055,INV055,9773.33,0.00,0.00,SALE
L105,LED098,2026-08-20,PAY098,INV098,4607.87,0.00,46.08,SALE
L012,LED012,2026-08-20,PAY012,INV012,7654.53,0.00,0.00,SALE
L007,LED007,2026-08-20,PAY007,INV007,13398.87,0.00,0.00,SALE
L033,LED033,2026-08-20,PAY033,INV033,8112.99,0.00,0.00,SALE
L063,LED063,2026-08-20,PAY063,INV063,8420.70,0.00,0.00,SALE
L065,LED065,2026-08-20,PAY065,INV065,12666.35,0.00,0.00,SALE
L034,LED034,2026-08-20,PAY034,INV034,14600.77,0.00,0.00,SALE
L082,LED082,2026-08-20,PAY082,INV082,1392.16,0.00,0.00,SALE
L088,LED088,2026-08-20,PAY088,INV088,5192.52,0.00,0.00,SALE
L110,LED103,2026-08-20,PAY103,INV103,2631.40,0.00,0.00,SALE
L044,LED044,2026-08-20,PAY044,INV044,4447.41,0.00,0.00,SALE
L092,LED091_L092,2026-08-20,PAY091,INV091,2885.99,0.00,0.00,SALE
L027,LED027,2026-08-20,PAY027,INV027,1527.28,0.00,0.00,SALE
L078,LED078,2026-08-20,PAY078,INV078,3315.32,0.00,0.00,SALE
L112,LED107,2026-08-20,PAY107,ORD210-A,3120.50,0.00,0.00,SALE
L113,LED108,2026-08-20,PAY108,INV108,1875.00,0.00,0.00,SALE
L114,LED109,2026-08-20,PAY109,ORD240,6400.00,0.00,0.00,SALE
L115,LED110,2026-08-20,PAY110,INV110,4550.00,0.00,0.00,SALE
L116,LED111,2026-08-20,PAY111,ORD270,2260.75,0.00,0.00,SALE
