source_row_id,ledger_entry_id,entry_date,payment_reference,invoice_reference,recorded_amount,tax_amount,tds_amount,gst_amount,mdr_amount,mdr_gst,fee_amount,entry_type
L230,LED217R,2026-08-20,PAY217-REFUND,INV217,-7337.36,0.00,0.00,0.00,0.00,0.00,0.00,REFUND
L060,LED060,2026-08-20,PAY060,INV060,5784.91,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L098,LED098,2026-08-20,PAY098,INV098,8007.35,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L143,LED143,2026-08-20,PAY143,INV143,1143.83,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L046,LED046,2026-08-20,PAY046,INV046,3606.94,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L036,LED036,2026-08-20,PAY036,INV036,8347.80,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L144,LED144,2026-08-20,PAY144,INV144,699.40,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L026,LED026,2026-08-20,PAY026,INV026,5148.43,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L137,LED137,2026-08-20,PAY137,INV137,1472.27,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L022,LED022,2026-08-20,PAY022,INV022,10517.37,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L231,LED218,2026-08-20,PAY218,INV218,6922.73,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L048,LED048,2026-08-20,PAY048,INV048,4277.91,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L116,LED116,2026-08-20,PAY116,INV116,13077.20,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L078,LED078,2026-08-20,PAY078,INV078,6963.95,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L015,LED015,2026-08-20,PAY015,INV015,9800.78,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L180,LED170R,2026-08-20,PAY170-REFUND,INV170,-770.48,0.00,0.00,0.00,0.00,0.00,0.00,REFUND
L175,LED168,2026-08-20,PAY168,INV168,3149.54,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L135,LED135,2026-08-20,PAY135,INV135,3876.01,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L123,LED123,2026-08-20,PAY123,INV123,11712.60,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L159,LED159,2026-08-20,PAY159,INV159,2584.39,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L184,LED174,2026-08-20,PAY174,INV174,3132.82,0.00,31.33,0.00,0.00,0.00,0.00,SALE
L171,LED166,2026-08-20,PAY166,INV166,6803.56,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L157,LED157,2026-08-20,PAY157,INV157,4022.10,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L188,LED178,2026-08-20,PAY178,INV178,6657.73,0.00,66.58,0.00,0.00,0.00,0.00,SALE
L201,LED195,2026-08-20,PAY195,INV195,3601.71,0.00,0.00,0.00,36.02,6.48,12.74,SALE
L134,LED134,2026-08-20,PAY134,INV134,532.22,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L217,LED211,2026-08-20,PAY211,INV211,2923.43,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L264,LED250,2026-08-20,PAY250,INV250,8954.36,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L016,LED016,2026-08-20,PAY016,INV016,8242.38,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L256,LED242,2026-08-20,PAY242,INV242,3275.53,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L028,LED028,2026-08-20,PAY028,INV028,1586.24,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L164,LED162_L164,2026-08-20,PAY162,INV162,2787.09,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L204,LED198,2026-08-20,PAY198,INV198,9373.51,0.00,0.00,0.00,187.47,33.74,19.85,SALE
L122,LED122,2026-08-20,PAY122,INV122,8159.78,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L233,LED219,2026-08-20,PAY219,INV219,5015.28,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L203,LED197,2026-08-20,PAY197,INV197,14032.65,0.00,0.00,0.00,140.33,25.26,26.15,SALE
L259,LED245,2026-08-20,PAY245,INV245,10220.12,0.00,0.00,1839.62,0.00,0.00,0.00,SALE
L003,LED003,2026-08-20,PAY003,INV003,4234.19,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L229,LED217,2026-08-20,PAY217,INV217,7337.36,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L227,LED216,2026-08-20,PAY216,INV216,4419.72,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L087,LED087,2026-08-20,PAY087,INV087,14963.43,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L236,LED222,2026-08-20,PAY222,INV222,6881.51,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L082,LED082,2026-08-20,PAY082,INV082,4051.71,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L095,LED095,2026-08-20,PAY095,INV095,1093.39,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L066,LED066,2026-08-20,PAY066,INV066,11673.60,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L094,LED094,2026-08-20,PAY094,INV094,6419.08,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L056,LED056,2026-08-20,PAY056,INV056,9195.60,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L012,LED012,2026-08-20,PAY012,INV012,7654.53,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L118,LED118,2026-08-20,PAY118,INV118,9638.40,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L037,LED037,2026-08-20,PAY037,INV037,12466.66,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L152,LED152,2026-08-20,PAY152,INV152,4406.02,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L009,LED009,2026-08-20,PAY009,INV009,6415.54,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L101,LED101,2026-08-20,PAY101,INV101,320.49,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L155,LED155,2026-08-20,PAY155,INV155,2560.95,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L252,LED238,2026-08-20,PAY238,INV238,4451.84,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L177,LED169,2026-08-20,PAY169,INV169,5217.71,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L108,LED108,2026-08-20,PAY108,INV108,6606.26,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L138,LED138,2026-08-20,PAY138,INV138,2231.06,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L158,LED158,2026-08-20,PAY158,INV158,2254.93,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L239,LED225,2026-08-20,PAY225,INV225,1692.30,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L051,LED051,2026-08-20,PAY051,INV051,5647.19,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L208,LED202,2026-08-20,PAY202,INV202,5451.11,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L044,LED044,2026-08-20,PAY044,INV044,4447.41,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L179,LED170,2026-08-20,PAY170,INV170,2841.09,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L111,LED111,2026-08-20,PAY111,INV111,13156.42,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L206,LED200,2026-08-20,PAY200,INV200,9093.94,0.00,0.00,0.00,90.94,16.37,26.77,SALE
L226,LED215R,2026-08-20,PAY215-REFUND,INV215,-2847.89,0.00,0.00,0.00,0.00,0.00,0.00,REFUND
L109,LED109,2026-08-20,PAY109,INV109,6887.80,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L197,LED191,2026-08-20,PAY191,INV191,8618.71,0.00,0.00,430.94,0.00,0.00,0.00,SALE
L019,LED019,2026-08-20,PAY019,INV019,12170.04,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L002,LED002,2026-08-20,PAY002,INV002,521.41,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L212,LED206,2026-08-20,PAY206,INV206,3879.13,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L068,LED068,2026-08-20,PAY068,INV068,626.69,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L145,LED145,2026-08-20,PAY145,INV145,4788.81,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L057,LED057,2026-08-20,PAY057,INV057,2691.41,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L013,LED013,2026-08-20,PAY013,INV013,544.06,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L043,LED043,2026-08-20,PAY043,INV043,3534.29,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L076,LED076,2026-08-20,PAY076,INV076,6025.13,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L202,LED196,2026-08-20,PAY196,INV196,8721.46,0.00,0.00,0.00,87.21,15.70,37.01,SALE
L017,LED017,2026-08-20,PAY017,INV017,3423.54,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L005,LED005,2026-08-20,PAY005,INV005,11086.60,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L064,LED064,2026-08-20,PAY064,INV064,10316.52,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L020,LED020,2026-08-20,PAY020,INV020,246.51,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L084,LED084,2026-08-20,PAY084,INV084,13482.67,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L102,LED102,2026-08-20,PAY102,INV102,10852.72,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L250,LED236,2026-08-20,PAY236,INV236,9241.94,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L185,LED175,2026-08-20,PAY175,INV175,3839.36,0.00,38.39,0.00,0.00,0.00,0.00,SALE
L146,LED146,2026-08-20,PAY146,INV146,4789.83,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L199,LED193,2026-08-20,PAY193,INV193,3898.98,0.00,0.00,467.88,0.00,0.00,0.00,SALE
L091,LED091,2026-08-20,PAY091,INV091,1778.29,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L061,LED061,2026-08-20,PAY061,INV061,14844.42,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L096,LED096,2026-08-20,PAY096,INV096,5817.05,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L210,LED204,2026-08-20,PAY204,INV204,6794.13,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L245,LED231,2026-08-20,PAY231,INV231,4703.80,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L182,LED172,2026-08-20,PAY172,INV172,8869.30,0.00,88.69,0.00,0.00,0.00,0.00,SALE
L100,LED100,2026-08-20,PAY100,INV100,12932.58,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L110,LED110,2026-08-20,PAY110,INV110,14314.17,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L243,LED229,2026-08-20,PAY229,INV229,4742.12,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L050,LED050,2026-08-20,PAY050,INV050,5567.76,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L213,LED207,2026-08-20,PAY207,INV207,18998.89,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L187,LED177,2026-08-20,PAY177,INV177,5127.42,0.00,51.27,0.00,0.00,0.00,0.00,SALE
L258,LED244,2026-08-20,PAY244,INV244,4614.25,0.00,0.00,553.71,0.00,0.00,0.00,SALE
L025,LED025,2026-08-20,PAY025,INV025,14364.61,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L228,LED216R,2026-08-20,PAY216-REFUND,INV216,-4419.72,0.00,0.00,0.00,0.00,0.00,0.00,REFUND
L216,LED210,2026-08-20,PAY210,INV210,9490.68,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L120,LED120,2026-08-20,PAY120,INV120,2419.66,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L262,LED248,2026-08-20,PAY248,INV248,10142.73,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L097,LED097,2026-08-20,PAY097,INV097,14942.40,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L220,LED212R,2026-08-22,PAY212-REFUND,INV212,-1167.59,0.00,0.00,0.00,0.00,0.00,0.00,REFUND
L089,LED089,2026-08-20,PAY089,INV089,1500.00,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L153,LED153,2026-08-20,PAY153,INV153,1609.38,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L115,LED115,2026-08-20,PAY115,INV115,13702.52,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L039,LED039,2026-08-20,PAY039,INV039,12946.35,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L261,LED247,2026-08-20,PAY247,INV247,13727.34,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L077,LED077,2026-08-20,PAY077,INV077,13731.03,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L073,LED073,2026-08-20,PAY073,INV073,13164.06,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L238,LED224,2026-08-20,PAY224,INV223,4328.40,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L181,LED171,2026-08-20,PAY171,INV171,3881.18,0.00,38.81,0.00,0.00,0.00,0.00,SALE
L130,LED130,2026-08-20,PAY130,INV130,12500.23,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L088,LED088,2026-08-20,PAY088,INV088,7716.47,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L154,LED154,2026-08-20,PAY154,INV154,2943.24,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L071,LED071,2026-08-20,PAY071,INV071,3283.10,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L018,LED018,2026-08-20,PAY018,INV018,8900.60,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L035,LED035,2026-08-20,PAY035,INV035,5771.24,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L218,LED211R,2026-08-22,PAY211-REFUND,INV211,-386.22,0.00,0.00,0.00,0.00,0.00,0.00,REFUND
L190,LED180,2026-08-20,PAY180,INV180,3526.28,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L099,LED099,2026-08-20,PAY099,INV099,14570.51,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L038,LED038,2026-08-20,PAY038,INV038,9335.02,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L263,LED249,2026-08-20,PAY249,INV249,8048.36,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L205,LED199,2026-08-20,PAY199,INV199,3682.55,0.00,0.00,0.00,73.65,13.26,11.59,SALE
L063,LED063,2026-08-20,PAY063,INV063,8420.70,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L223,LED214,2026-08-20,PAY214,INV214,3628.78,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L124,LED124,2026-08-20,PAY124,INV124,8025.75,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L107,LED107,2026-08-20,PAY107,INV107,1806.55,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L070,LED070,2026-08-20,PAY070,INV070,4125.95,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L131,LED131,2026-08-20,PAY131,INV131,1676.07,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L075,LED075,2026-08-20,PAY075,INV075,9883.26,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L186,LED176,2026-08-20,PAY176,INV176,9782.09,0.00,97.82,0.00,0.00,0.00,0.00,SALE
L040,LED040,2026-08-20,PAY040,INV040,8723.68,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L031,LED031,2026-08-20,PAY031,INV031,12135.85,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L193,LED187,2026-08-20,PAY187,INV187,4852.49,0.00,0.00,242.62,0.00,0.00,0.00,SALE
L200,LED194,2026-08-20,PAY194,INV194,4177.01,0.00,0.00,208.85,0.00,0.00,0.00,SALE
L058,LED058,2026-08-20,PAY058,INV058,10977.53,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L224,LED214R,2026-08-22,PAY214-REFUND,INV214,-1053.33,0.00,0.00,0.00,0.00,0.00,0.00,REFUND
L249,LED235,2026-08-20,PAY235,INV235,8502.97,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L168,LED164_L168,2026-08-20,PAY164,INV164,712.14,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L004,LED004,2026-08-20,PAY004,INV004,3464.68,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L142,LED142,2026-08-20,PAY142,INV142,2302.88,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L080,LED080,2026-08-20,PAY080,INV080,3812.42,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L041,LED041,2026-08-20,PAY041,INV041,10612.89,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L062,LED062,2026-08-20,PAY062,INV062,9654.00,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L156,LED156,2026-08-20,PAY156,INV156,747.09,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L162,LED161_L162,2026-08-20,PAY161,INV161,689.60,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L008,LED008,2026-08-20,PAY008,INV008,1441.04,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L032,LED032,2026-08-20,PAY032,INV032,10986.52,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L125,LED125,2026-08-20,PAY125,INV125,158.49,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L113,LED113,2026-08-20,PAY113,INV113,7583.70,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L242,LED228,2026-08-20,PAY228,INV227,4638.54,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L034,LED034,2026-08-20,PAY034,INV034,14600.77,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L207,LED201,2026-08-20,PAY201,INV201,10004.07,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L241,LED227,2026-08-20,PAY227,INV227,6426.31,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L053,LED053,2026-08-20,PAY053,INV053,4114.62,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L191,LED181,2026-08-20,PAY181,INV181,3658.55,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L232,LED218R,2026-08-20,PAY218-REFUND,INV218,-6922.73,0.00,0.00,0.00,0.00,0.00,0.00,REFUND
L161,LED161_L161,2026-08-20,PAY161,INV161,689.60,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L128,LED128,2026-08-20,PAY128,INV128,13947.11,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L160,LED160,2026-08-20,PAY160,INV160,5210.25,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L093,LED093,2026-08-20,PAY093,INV093,11912.38,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L234,LED220,2026-08-20,PAY220,INV220,7043.48,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L049,LED049,2026-08-20,PAY049,INV049,9589.91,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L014,LED014,2026-08-20,PAY014,INV014,3102.74,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L214,LED208,2026-08-20,PAY208,INV208,7366.20,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L119,LED119,2026-08-20,PAY119,INV119,9193.21,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L139,LED139,2026-08-20,PAY139,INV139,2788.62,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L169,LED165,2026-08-20,PAY165,INV165,6369.28,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L001,LED001,2026-08-20,PAY001,INV001,9645.49,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L132,LED132,2026-08-20,PAY132,INV132,4414.45,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L104,LED104,2026-08-20,PAY104,INV104,8124.01,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L198,LED192,2026-08-20,PAY192,INV192,6866.71,0.00,0.00,1236.01,0.00,0.00,0.00,SALE
L030,LED030,2026-08-20,PAY030,INV030,9115.33,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L219,LED212,2026-08-20,PAY212,INV212,6425.79,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L065,LED065,2026-08-20,PAY065,INV065,12666.35,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L081,LED081,2026-08-20,PAY081,INV081,8486.32,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L023,LED023,2026-08-20,PAY023,INV023,5202.72,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L117,LED117,2026-08-20,PAY117,INV117,4581.91,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L010,LED010,2026-08-20,PAY010,INV010,592.49,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L141,LED141,2026-08-20,PAY141,INV141,4976.72,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L195,LED189,2026-08-20,PAY189,INV189,9305.05,0.00,0.00,1674.91,0.00,0.00,0.00,SALE
L103,LED103,2026-08-20,PAY103,INV103,10273.40,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L170,LED165R,2026-08-20,PAY165-REFUND,INV165,-870.67,0.00,0.00,0.00,0.00,0.00,0.00,REFUND
L074,LED074,2026-08-20,PAY074,INV074,4822.97,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L127,LED127,2026-08-20,PAY127,INV127,439.23,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L178,LED169R,2026-08-20,PAY169-REFUND,INV169,-1364.98,0.00,0.00,0.00,0.00,0.00,0.00,REFUND
L106,LED106,2026-08-20,PAY106,INV106,9668.28,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L085,LED085,2026-08-20,PAY085,INV085,6081.10,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L260,LED246,2026-08-20,PAY246,INV246,4432.78,0.00,0.00,797.90,0.00,0.00,0.00,SALE
L027,LED027,2026-08-20,PAY027,INV027,1527.28,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L172,LED166R,2026-08-20,PAY166-REFUND,INV166,-1309.86,0.00,0.00,0.00,0.00,0.00,0.00,REFUND
L083,LED083,2026-08-20,PAY083,INV083,8831.10,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L086,LED086,2026-08-20,PAY086,INV086,3406.91,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L105,LED105,2026-08-20,PAY105,INV105,4112.35,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L090,LED090,2026-08-20,PAY090,INV090,849.68,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L235,LED221,2026-08-20,PAY221,INV221,12482.31,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L254,LED240,2026-08-20,PAY240,INV240,7121.08,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L126,LED126,2026-08-20,PAY126,INV126,4963.72,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L209,LED203,2026-08-20,PAY203,INV203,7749.43,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L163,LED162_L163,2026-08-20,PAY162,INV162,2787.09,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L112,LED112,2026-08-20,PAY112,INV112,4061.33,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L150,LED150,2026-08-20,PAY150,INV150,4210.42,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L047,LED047,2026-08-20,PAY047,INV047,1649.87,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L072,LED072,2026-08-20,PAY072,INV072,14152.21,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L114,LED114,2026-08-20,PAY114,INV114,2802.98,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L167,LED164_L167,2026-08-20,PAY164,INV164,712.14,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L133,LED133,2026-08-20,PAY133,INV133,611.14,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L121,LED121,2026-08-20,PAY121,INV121,11473.29,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L045,LED045,2026-08-20,PAY045,INV045,1334.91,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L194,LED188,2026-08-20,PAY188,INV188,8965.92,0.00,0.00,1613.87,0.00,0.00,0.00,SALE
L246,LED232,2026-08-20,PAY232,INV232,2314.52,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L011,LED011,2026-08-20,PAY011,INV011,3396.77,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L248,LED234,2026-08-20,PAY234,INV234,3195.42,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L069,LED069,2026-08-20,PAY069,INV069,4834.48,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L211,LED205,2026-08-20,PAY205,INV205,8499.43,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L251,LED237,2026-08-20,PAY237,INV237,7006.26,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L196,LED190,2026-08-20,PAY190,INV190,9833.62,0.00,0.00,1770.05,0.00,0.00,0.00,SALE
L006,LED006,2026-08-20,PAY006,INV006,10198.99,0.00,0.00,0.00,0.00,0.00,0.00,SALE
