source_row_id,bank_transaction_id,transaction_date,value_date,credit_amount,utr,bank_reference,description
B194,BANK200,2026-08-20,2026-08-20,8959.86,UTR100200,GW200,Settlement PAY200 (MDR + fee deducted)
B266,BANK250-C,2026-08-20,2026-08-20,1950.33,UTR100250-3,GW250,Unrelated credit PAY250-C
B041,BANK041,2026-08-20,2026-08-20,10612.89,UTR100041,GW041,Settlement PAY041
B173,BANK173,2026-08-20,2026-08-20,7786.64,UTR100173,GW173,Settlement PAY173 (net of TDS)
B066,BANK066,2026-08-20,2026-08-20,11673.60,UTR100066,GW066,Settlement PAY066
B206,BANK206-B,2026-08-20,2026-08-20,2160.93,UTR100206-2,GW206,Settlement PAY206 (instr 2/2)
B128,BANK128,2026-08-20,2026-08-20,13947.11,UTR100128,GW128,Settlement PAY128
B064,BANK064,2026-08-20,2026-08-20,10316.52,UTR100064,GW064,Settlement PAY064
B214,BANK214,2026-08-20,2026-08-20,6571.15,UTR100209-4,GW209,Settlement PAY209 (instr)
B227,BANK223,2026-08-20,2026-08-20,4085.04,UTR100223,GW223,Settlement PAY223 (installment for INV223)
B092,BANK092,2026-08-20,2026-08-20,9467.57,UTR100092,GW092,Settlement PAY092
B252,BANK244,2026-08-20,2026-08-20,5580.91,UTR100244,GW244,Settlement PAY244
B230,BANK226,2026-08-20,2026-08-20,2385.06,UTR100226,GW226,Settlement PAY226 (installment for INV225)
B100,BANK100,2026-08-20,2026-08-20,12932.58,UTR100100,GW100,Settlement PAY100
B256,BANK247-B,2026-08-20,2026-08-20,6176.30,UTR100247-2,GW247,Settlement PAY247 (instr 2/2)
B075,BANK075,2026-08-20,2026-08-20,9883.26,UTR100075,GW075,Settlement PAY075
B141,BANK141,2026-08-20,2026-08-20,4976.68,UTR100141,GW141,Settlement PAY141
B058,BANK058,2026-08-20,2026-08-20,10977.53,UTR100058,GW058,Settlement PAY058
B162,BANK162,2026-08-20,2026-08-20,2787.09,UTR100162,GW162,Settlement PAY162
B220,BANK212,2026-08-22,2026-08-22,5258.20,UTR100212,GW212,"Settlement PAY212 (net of refund, delayed)"
B029,BANK029,2026-08-20,2026-08-20,12735.29,UTR100029,GW029,Settlement PAY029
B054,BANK054,2026-08-20,2026-08-20,14059.32,UTR100054,GW054,Settlement PAY054
B016,BANK016,2026-08-20,2026-08-20,8242.38,UTR100016,GW016,Settlement PAY016
B032,BANK032,2026-08-20,2026-08-20,10986.52,UTR100032,GW032,Settlement PAY032
B224,BANK220,2026-08-20,2026-08-20,3529.23,UTR100220,GW220,Settlement PAY220
B140,BANK140,2026-08-20,2026-08-20,1165.51,UTR100140,GW140,Settlement PAY140
B073,BANK073,2026-08-20,2026-08-20,13164.06,UTR100073,GW073,Settlement PAY073
B121,BANK121,2026-08-20,2026-08-20,11473.29,UTR100121,GW121,Settlement PAY121
B245,BANK237,2026-08-20,2026-08-20,6092.40,UTR100237,GW237,Settlement PAY237
B260,BANK248-C,2026-08-20,2026-08-20,1693.02,UTR100248-3,GW248,Unrelated credit PAY248-C
B144,BANK144,2026-08-21,2026-08-21,699.40,UTR100144,GW144,Settlement PAY144
B010,BANK010,2026-08-20,2026-08-20,592.49,UTR100010,GW010,Settlement PAY010
B096,BANK096,2026-08-20,2026-08-20,5817.05,UTR100096,GW096,Settlement PAY096
B052,BANK052,2026-08-20,2026-08-20,3261.18,UTR100052,GW052,Settlement PAY052
B009,BANK009,2026-08-20,2026-08-20,6415.54,UTR100009,GW009,Settlement PAY009
B015,BANK015,2026-08-20,2026-08-20,9800.78,UTR100015,GW015,Settlement PAY015
B099,BANK099,2026-08-20,2026-08-20,14570.51,UTR100099,GW099,Settlement PAY099
B033,BANK033,2026-08-20,2026-08-20,8112.99,UTR100033,GW033,Settlement PAY033
B248,BANK240,2026-08-20,2026-08-20,7121.08,UTR100240,NEFT-10240,NEFT inward - UNIDENTIFIED
B151,BANK151,2026-08-21,2026-08-21,5418.03,UTR100151,GW151,Settlement PAY151
B044,BANK044,2026-08-20,2026-08-20,4447.41,UTR100044,GW044,Settlement PAY044
B255,BANK247-A,2026-08-20,2026-08-20,7548.82,UTR100247-1,GW247,Settlement PAY247 (instr 1/2)
B195,BANK201-A,2026-08-20,2026-08-20,5049.59,UTR100201-1,GW201,Settlement PAY201 (instr 1/2)
B061,BANK061,2026-08-20,2026-08-20,14844.42,UTR100061,GW061,Settlement PAY061
B222,BANK214,2026-08-22,2026-08-22,2575.45,UTR100214,GW214,"Settlement PAY214 (net of refund, delayed)"
B074,BANK074,2026-08-20,2026-08-20,4822.97,UTR100074,GW074,Settlement PAY074
B263,BANK249-C,2026-08-20,2026-08-20,789.69,UTR100249-3,GW249,Unrelated credit PAY249-C
B014,BANK014,2026-08-20,2026-08-20,3102.74,UTR100014,GW014,Settlement PAY014
B147,BANK147,2026-08-21,2026-08-21,753.75,UTR100147,GW147,Settlement PAY147
B082,BANK082,2026-08-20,2026-08-20,4051.71,UTR100082,GW082,Settlement PAY082
B159,BANK159,2026-08-20,2026-08-20,2584.39,UTR100159,PAY-159,Settlement PAY159
B090,BANK090,2026-08-20,2026-08-20,849.68,UTR100090,GW090,Settlement PAY090
B113,BANK113,2026-08-20,2026-08-20,7583.70,UTR100113,GW113,Settlement PAY113
B216,BANK216,2026-08-20,2026-08-20,3264.28,UTR100210-6,GW210,Settlement PAY210 (instr)
B254,BANK246,2026-08-20,2026-08-20,5087.44,UTR100246,GW246,Settlement PAY246
B006,BANK006,2026-08-20,2026-08-20,10198.99,UTR100006,GW006,Settlement PAY006
B123,BANK123,2026-08-20,2026-08-20,11712.60,UTR100123,GW123,Settlement PAY123
B017,BANK017,2026-08-20,2026-08-20,3423.54,UTR100017,GW017,Settlement PAY017
B190,BANK196,2026-08-20,2026-08-20,8581.54,UTR100196,GW196,Settlement PAY196 (MDR + fee deducted)
B196,BANK201-B,2026-08-20,2026-08-20,4958.39,UTR100201-2,GW201,Settlement PAY201 (instr 2/2)
B002,BANK002,2026-08-20,2026-08-20,521.41,UTR100002,GW002,Settlement PAY002
B039,BANK039,2026-08-20,2026-08-20,12946.35,UTR100039,GW039,Settlement PAY039
B187,BANK193,2026-08-20,2026-08-20,4366.86,UTR100193,GW193,Settlement PAY193 (incl. GST)
B250,BANK242,2026-08-20,2026-08-20,3275.53,UTR100242,NEFT-10242,NEFT inward - UNIDENTIFIED
B030,BANK030,2026-08-20,2026-08-20,9115.33,UTR100030,GW030,Settlement PAY030
B038,BANK038,2026-08-20,2026-08-20,9335.02,UTR100038,GW038,Settlement PAY038
B231,BANK227,2026-08-20,2026-08-20,6426.31,UTR100227,GW227,Settlement PAY227 (installment for INV227)
B107,BANK107,2026-08-20,2026-08-20,1806.55,UTR100107,GW107,Settlement PAY107
B013,BANK013,2026-08-20,2026-08-20,544.06,UTR100013,GW013,Settlement PAY013
B037,BANK037,2026-08-20,2026-08-20,12466.66,UTR100037,GW037,Settlement PAY037
B077,BANK077,2026-08-20,2026-08-20,13731.03,UTR100077,GW077,Settlement PAY077
B068,BANK068,2026-08-20,2026-08-20,626.69,UTR100068,GW068,Settlement PAY068
B235,BANK2315,2026-08-20,2026-08-20,4703.80,UTR100231,REF-231,Inward credit B235
B150,BANK150,2026-08-22,2026-08-22,4210.42,UTR100150,GW150,Settlement PAY150
B208,BANK208,2026-08-20,2026-08-20,5452.77,UTR100207-8,GW207,Settlement PAY207 (instr)
B036,BANK036,2026-08-20,2026-08-20,8347.80,UTR100036,GW036,Settlement PAY036
B156,BANK156,2026-08-20,2026-08-20,747.09,UTR100156,156,Settlement PAY156
B226,BANK222,2026-08-20,2026-08-20,4970.99,UTR100222,GW222,Settlement PAY222
B210,BANK210,2026-08-20,2026-08-20,2360.75,UTR100208-0,GW208,Settlement PAY208 (instr)
B025,BANK025,2026-08-20,2026-08-20,14364.61,UTR100025,GW025,Settlement PAY025
B048,BANK048,2026-08-20,2026-08-20,4277.91,UTR100048,GW048,Settlement PAY048
B262,BANK249-B,2026-08-20,2026-08-20,3620.05,UTR100249-2,GW249,Settlement PAY249 (instr 2/2)
B081,BANK081,2026-08-20,2026-08-20,8486.32,UTR100081,GW081,Settlement PAY081
B050,BANK050,2026-08-20,2026-08-20,5567.76,UTR100050,GW050,Settlement PAY050
B228,BANK224,2026-08-20,2026-08-20,4328.40,UTR100224,GW224,Settlement PAY224 (installment for INV223)
B060,BANK060,2026-08-20,2026-08-20,5784.91,UTR100060,GW060,Settlement PAY060
B065,BANK065,2026-08-20,2026-08-20,12666.35,UTR100065,GW065,Settlement PAY065
B205,BANK206-A,2026-08-20,2026-08-20,1716.09,UTR100206-1,GW206,Settlement PAY206 (instr 1/2)
B234,BANK230,2026-08-20,2026-08-20,3622.60,UTR100230,GW230,Settlement PAY230 (installment for INV229)
B117,BANK117,2026-08-20,2026-08-20,4581.91,UTR100117,GW117,Settlement PAY117
B171,BANK171,2026-08-20,2026-08-20,3842.37,UTR100171,GW171,Settlement PAY171 (net of TDS)
B085,BANK085,2026-08-20,2026-08-20,6081.10,UTR100085,GW085,Settlement PAY085
B109,BANK109,2026-08-20,2026-08-20,6887.80,UTR100109,GW109,Settlement PAY109
B223,BANK219,2026-08-20,2026-08-20,3144.95,UTR100219,GW219,Settlement PAY219
B136,BANK136,2026-08-20,2026-08-20,2481.33,UTR100136,GW136,Settlement PAY136
B142,BANK142,2026-08-20,2026-08-20,2302.85,UTR100142,GW142,Settlement PAY142
B155,BANK155,2026-08-20,2026-08-20,2560.95,UTR100155,PAY-155,Settlement PAY155
B219,BANK211,2026-08-22,2026-08-22,2537.21,UTR100211,GW211,"Settlement PAY211 (net of refund, delayed)"
B079,BANK079,2026-08-20,2026-08-20,4083.47,UTR100079,GW079,Settlement PAY079
B244,BANK236,2026-08-20,2026-08-20,7393.55,UTR100236,GW236,Settlement PAY236
B104,BANK104,2026-08-20,2026-08-20,8124.01,UTR100104,GW104,Settlement PAY104
B057,BANK057,2026-08-20,2026-08-20,2691.41,UTR100057,GW057,Settlement PAY057
B076,BANK076,2026-08-20,2026-08-20,6025.13,UTR100076,GW076,Settlement PAY076
B024,BANK024,2026-08-20,2026-08-20,2458.87,UTR100024,GW024,Settlement PAY024
B005,BANK005,2026-08-20,2026-08-20,11086.60,UTR100005,GW005,Settlement PAY005
B115,BANK115,2026-08-20,2026-08-20,13702.52,UTR100115,GW115,Settlement PAY115
B197,BANK202-A,2026-08-20,2026-08-20,2959.98,UTR100202-1,GW202,Settlement PAY202 (instr 1/2)
B122,BANK122,2026-08-20,2026-08-20,8159.78,UTR100122,GW122,Settlement PAY122
B257,BANK247-C,2026-08-20,2026-08-20,1724.88,UTR100247-3,GW247,Unrelated credit PAY247-C
B165,BANK165,2026-08-20,2026-08-20,5498.61,UTR100165,GW165,Settlement PAY165 (net of refund)
B212,BANK212,2026-08-20,2026-08-20,2715.39,UTR100208-2,GW208,Settlement PAY208 (instr)
B105,BANK105,2026-08-20,2026-08-20,4112.35,UTR100105,GW105,Settlement PAY105
B062,BANK062,2026-08-20,2026-08-20,9654.00,UTR100062,GW062,Settlement PAY062
B022,BANK022,2026-08-20,2026-08-20,10517.37,UTR100022,GW022,Settlement PAY022
B049,BANK049,2026-08-20,2026-08-20,9589.91,UTR100049,GW049,Settlement PAY049
B133,BANK133,2026-08-20,2026-08-20,611.11,UTR100133,GW133,Settlement PAY133
B003,BANK003,2026-08-20,2026-08-20,4234.19,UTR100003,GW003,Settlement PAY003
B143,BANK143,2026-08-21,2026-08-21,1143.83,UTR100143,GW143,Settlement PAY143
B071,BANK071,2026-08-20,2026-08-20,3283.10,UTR100071,GW071,Settlement PAY071
B153,BANK153,2026-08-20,2026-08-20,1609.38,UTR100153,PAY153,Settlement PAY153
B186,BANK192,2026-08-20,2026-08-20,8102.72,UTR100192,GW192,Settlement PAY192 (incl. GST)
B215,BANK215,2026-08-20,2026-08-20,8270.77,UTR100209-5,GW209,Settlement PAY209 (instr)
B067,BANK067,2026-08-20,2026-08-20,3551.36,UTR100067,GW067,Settlement PAY067
B091,BANK091,2026-08-20,2026-08-20,1778.29,UTR100091,GW091,Settlement PAY091
B055,BANK055,2026-08-20,2026-08-20,9773.33,UTR100055,GW055,Settlement PAY055
B125,BANK125,2026-08-20,2026-08-20,158.49,UTR100125,GW125,Settlement PAY125
B047,BANK047,2026-08-20,2026-08-20,1649.87,UTR100047,GW047,Settlement PAY047
B258,BANK248-A,2026-08-20,2026-08-20,5577.64,UTR100248-1,GW248,Settlement PAY248 (instr 1/2)
B127,BANK127,2026-08-20,2026-08-20,439.23,UTR100127,GW127,Settlement PAY127
B008,BANK008,2026-08-20,2026-08-20,1441.04,UTR100008,GW008,Settlement PAY008
B087,BANK087,2026-08-20,2026-08-20,14963.43,UTR100087,GW087,Settlement PAY087
B098,BANK098,2026-08-20,2026-08-20,8007.35,UTR100098,GW098,Settlement PAY098
B172,BANK172,2026-08-20,2026-08-20,8780.61,UTR100172,GW172,Settlement PAY172 (net of TDS)
B157,BANK157,2026-08-20,2026-08-20,4022.10,UTR100157,gw157,Settlement PAY157
B146,BANK146,2026-08-21,2026-08-21,4789.83,UTR100146,GW146,Settlement PAY146
B119,BANK119,2026-08-20,2026-08-20,9193.21,UTR100119,GW119,Settlement PAY119
B192,BANK198,2026-08-20,2026-08-20,9132.45,UTR100198,GW198,Settlement PAY198 (MDR + fee deducted)
B116,BANK116,2026-08-20,2026-08-20,13077.20,UTR100116,GW116,Settlement PAY116
B072,BANK072,2026-08-20,2026-08-20,14152.21,UTR100072,GW072,Settlement PAY072
B023,BANK023,2026-08-20,2026-08-20,5202.72,UTR100023,GW023,Settlement PAY023
B237,BANK2327,2026-08-20,2026-08-20,2314.52,UTR100232,REF-232,Inward credit B237
B083,BANK083,2026-08-20,2026-08-20,8831.10,UTR100083,GW083,Settlement PAY083
B069,BANK069,2026-08-20,2026-08-20,4834.48,UTR100069,GW069,Settlement PAY069
B241,BANK2341,2026-08-20,2026-08-20,3195.42,UTR100234,REF-234,Inward credit B241
B225,BANK221,2026-08-20,2026-08-20,8626.95,UTR100221,GW221,Settlement PAY221
B203,BANK205-A,2026-08-20,2026-08-20,5099.71,UTR100205-1,GW205,Settlement PAY205 (instr 1/2)
B120,BANK120,2026-08-20,2026-08-20,2419.66,UTR100120,GW120,Settlement PAY120
B124,BANK124,2026-08-20,2026-08-20,8025.75,UTR100124,GW124,Settlement PAY124
B138,BANK138,2026-08-20,2026-08-20,2231.04,UTR100138,GW138,Settlement PAY138
B158,BANK158,2026-08-20,2026-08-20,2254.93,UTR100158,PAY158,Settlement PAY158
B070,BANK070,2026-08-20,2026-08-20,4125.95,UTR100070,GW070,Settlement PAY070
B167,BANK167,2026-08-20,2026-08-20,1925.59,UTR100167,GW167,Settlement PAY167 (net of refund)
B134,BANK134,2026-08-20,2026-08-20,532.18,UTR100134,GW134,Settlement PAY134
B188,BANK194,2026-08-20,2026-08-20,4385.86,UTR100194,GW194,Settlement PAY194 (incl. GST)
B046,BANK046,2026-08-20,2026-08-20,3606.94,UTR100046,GW046,Settlement PAY046
B264,BANK250-A,2026-08-20,2026-08-20,4926.50,UTR100250-1,GW250,Settlement PAY250 (instr 1/2)
B040,BANK040,2026-08-20,2026-08-20,8723.68,UTR100040,GW040,Settlement PAY040
B182,BANK188,2026-08-20,2026-08-20,10579.79,UTR100188,GW188,Settlement PAY188 (incl. GST)
B118,BANK118,2026-08-20,2026-08-20,9638.40,UTR100118,GW118,Settlement PAY118
B163,BANK163,2026-08-20,2026-08-20,2761.63,UTR100163,GW163,Settlement PAY163
B093,BANK093,2026-08-20,2026-08-20,11912.38,UTR100093,GW093,Settlement PAY093
B111,BANK111,2026-08-20,2026-08-20,13156.42,UTR100111,GW111,Settlement PAY111
B028,BANK028,2026-08-20,2026-08-20,1586.24,UTR100028,GW028,Settlement PAY028
B126,BANK126,2026-08-20,2026-08-20,4963.72,UTR100126,GW126,Settlement PAY126
B211,BANK211,2026-08-20,2026-08-20,2293.06,UTR100208-1,GW208,Settlement PAY208 (instr)
B108,BANK108,2026-08-20,2026-08-20,6606.26,UTR100108,GW108,Settlement PAY108
B004,BANK004,2026-08-20,2026-08-20,3464.68,UTR100004,GW004,Settlement PAY004
B088,BANK088,2026-08-20,2026-08-20,7716.47,UTR100088,GW088,Settlement PAY088
B166,BANK166,2026-08-20,2026-08-20,5493.70,UTR100166,GW166,Settlement PAY166 (net of refund)
B130,BANK130,2026-08-20,2026-08-20,12500.23,UTR100130,GW130,Settlement PAY130
B018,BANK018,2026-08-20,2026-08-20,8900.60,UTR100018,GW018,Settlement PAY018
B095,BANK095,2026-08-20,2026-08-20,1093.39,UTR100095,GW095,Settlement PAY095
B170,BANK170,2026-08-20,2026-08-20,2070.61,UTR100170,GW170,Settlement PAY170 (net of refund)
B110,BANK110,2026-08-20,2026-08-20,14314.17,UTR100110,GW110,Settlement PAY110
B137,BANK137,2026-08-20,2026-08-20,1472.23,UTR100137,GW137,Settlement PAY137
B089,BANK089,2026-08-20,2026-08-20,1500.00,UTR100089,GW089,Settlement PAY089
B011,BANK011,2026-08-20,2026-08-20,3396.77,UTR100011,GW011,Settlement PAY011
B201,BANK204-A,2026-08-20,2026-08-20,3737.19,UTR100204-1,GW204,Settlement PAY204 (instr 1/2)
B145,BANK145,2026-08-21,2026-08-21,4788.81,UTR100145,GW145,Settlement PAY145
B204,BANK205-B,2026-08-20,2026-08-20,3404.18,UTR100205-2,GW205,Settlement PAY205 (instr 2/2)
B031,BANK031,2026-08-20,2026-08-20,12135.85,UTR100031,GW031,Settlement PAY031
B207,BANK207,2026-08-20,2026-08-20,6421.40,UTR100207-7,GW207,Settlement PAY207 (instr)
B154,BANK154,2026-08-20,2026-08-20,2943.24,UTR100154,GW154,Settlement PAY154
B176,BANK176,2026-08-20,2026-08-20,9684.27,UTR100176,GW176,Settlement PAY176 (net of TDS)
B218,BANK218,2026-08-20,2026-08-20,3727.36,UTR100210-8,GW210,Settlement PAY210 (instr)
B078,BANK078,2026-08-20,2026-08-20,6963.95,UTR100078,GW078,Settlement PAY078
B198,BANK202-B,2026-08-20,2026-08-20,2488.78,UTR100202-2,GW202,Settlement PAY202 (instr 2/2)
B179,BANK184,2026-08-20,2026-08-20,1866.48,UTR100184,UNKNOWN,Unidentified inward credit
B027,BANK027,2026-08-20,2026-08-20,1527.28,UTR100027,GW027,Settlement PAY027
B063,BANK063,2026-08-20,2026-08-20,8420.70,UTR100063,GW063,Settlement PAY063
B161,BANK161,2026-08-20,2026-08-20,689.60,UTR100161,GW161,Settlement PAY161
B213,BANK213,2026-08-20,2026-08-20,4967.97,UTR100209-3,GW209,Settlement PAY209 (instr)
B177,BANK177,2026-08-20,2026-08-20,5076.15,UTR100177,GW177,Settlement PAY177 (net of TDS)
B152,BANK152,2026-08-22,2026-08-22,4406.02,UTR100152,GW152,Settlement PAY152
B020,BANK020,2026-08-20,2026-08-20,246.51,UTR100020,GW020,Settlement PAY020
B051,BANK051,2026-08-20,2026-08-20,5647.19,UTR100051,GW051,Settlement PAY051
B184,BANK190,2026-08-20,2026-08-20,11603.67,UTR100190,GW190,Settlement PAY190 (incl. GST)
B242,BANK2342,2026-08-20,2026-08-20,3195.42,UTR100234,XREF234,Inward credit B242
B102,BANK102,2026-08-20,2026-08-20,10852.72,UTR100102,GW102,Settlement PAY102
B097,BANK097,2026-08-20,2026-08-20,14942.40,UTR100097,GW097,Settlement PAY097
B246,BANK238,2026-08-20,2026-08-20,4122.07,UTR100238,GW238,Settlement PAY238
B233,BANK229,2026-08-20,2026-08-20,4742.12,UTR100229,GW229,Settlement PAY229 (installment for INV229)
B174,BANK174,2026-08-20,2026-08-20,3101.49,UTR100174,GW174,Settlement PAY174 (net of TDS)
B148,BANK148,2026-08-21,2026-08-21,1985.75,UTR100148,GW148,Settlement PAY148
B080,BANK080,2026-08-20,2026-08-20,3812.42,UTR100080,GW080,Settlement PAY080
B238,BANK2328,2026-08-20,2026-08-20,2314.52,UTR100232,XREF232,Inward credit B238
B007,BANK007,2026-08-20,2026-08-20,13398.87,UTR100007,GW007,Settlement PAY007
B149,BANK149,2026-08-21,2026-08-21,6905.16,UTR100149,GW149,Settlement PAY149
B056,BANK056,2026-08-20,2026-08-20,9195.60,UTR100056,GW056,Settlement PAY056
B160,BANK160,2026-08-20,2026-08-20,5210.25,UTR100160,160,Settlement PAY160
B084,BANK084,2026-08-20,2026-08-20,13482.67,UTR100084,GW084,Settlement PAY084
B265,BANK250-B,2026-08-20,2026-08-20,4030.77,UTR100250-2,GW250,Settlement PAY250 (instr 2/2)
B086,BANK086,2026-08-20,2026-08-20,3406.91,UTR100086,GW086,Settlement PAY086
B189,BANK195,2026-08-20,2026-08-20,3546.47,UTR100195,GW195,Settlement PAY195 (MDR + fee deducted)
B132,BANK132,2026-08-20,2026-08-20,4414.40,UTR100132,GW132,Settlement PAY132
B239,BANK2339,2026-08-20,2026-08-20,2200.95,UTR100233,REF-233,Inward credit B239
B112,BANK112,2026-08-20,2026-08-20,4061.33,UTR100112,GW112,Settlement PAY112
B059,BANK059,2026-08-20,2026-08-20,2576.53,UTR100059,GW059,Settlement PAY059
B243,BANK235,2026-08-20,2026-08-20,7393.89,UTR100235,GW235,Settlement PAY235
