source_row_id,payment_id,payment_date,amount,status,gateway_reference,customer_reference,settlement_expected_date
G124,PAY124,2026-08-20,8025.75,CAPTURED,GW124,ORD124,2026-08-20
G162,PAY162,2026-08-20,2787.09,CAPTURED,GW162,ORD162,2026-08-20
G183,PAY177,2026-08-20,5127.42,CAPTURED,GW177,ORD177,2026-08-20
G096,PAY096,2026-08-20,5817.05,CAPTURED,GW096,ORD096,2026-08-20
G021,PAY021,2026-08-20,12116.42,CAPTURED,GW021,ORD021,2026-08-20
G115,PAY115,2026-08-20,13702.52,CAPTURED,GW115,ORD115,2026-08-20
G215,PAY211,2026-08-20,2923.43,CAPTURED,GW211,ORD211,2026-08-22
G071,PAY071,2026-08-20,3283.10,CAPTURED,GW071,ORD071,2026-08-20
G227,PAY217,2026-08-20,7337.36,CAPTURED,GW217,ORD217,2026-08-20
G151,PAY151,2026-08-20,5418.03,CAPTURED,GW151,ORD151,2026-08-21
G110,PAY110,2026-08-20,14314.17,CAPTURED,GW110,ORD110,2026-08-20
G226,PAY216-REFUND,2026-08-20,-4419.72,REFUNDED,GW216-R,ORD216,2026-08-20
G082,PAY082,2026-08-20,4051.71,CAPTURED,GW082,ORD082,2026-08-20
G137,PAY137,2026-08-20,1472.27,CAPTURED,GW137,ORD137,2026-08-20
G035,PAY035,2026-08-20,5771.24,CAPTURED,GW035,ORD035,2026-08-20
G152,PAY152,2026-08-20,4406.02,CAPTURED,GW152,ORD152,2026-08-22
G212,PAY208,2026-08-20,7366.20,CAPTURED,GW208,ORD208,2026-08-20
G064,PAY064,2026-08-20,10316.52,CAPTURED,GW064,ORD064,2026-08-20
G013,PAY013,2026-08-20,544.06,CAPTURED,GW013,ORD013,2026-08-20
G119,PAY119,2026-08-20,9193.21,CAPTURED,GW119,ORD119,2026-08-20
G133,PAY133,2026-08-20,611.14,CAPTURED,GW133,ORD133,2026-08-20
G255,PAY243,2026-08-20,4462.52,CAPTURED,GW243,ORD243,2026-08-20
G057,PAY057,2026-08-20,2691.41,CAPTURED,GW057,ORD057,2026-08-20
G109,PAY109,2026-08-20,6887.80,CAPTURED,GW109,ORD109,2026-08-20
G249,PAY237,2026-08-20,6092.40,CAPTURED,GW237,ORD237,2026-08-20
G002,PAY002,2026-08-20,521.41,CAPTURED,GW002,ORD002,2026-08-20
G194,PAY190,2026-08-20,9833.62,CAPTURED,GW190,ORD190,2026-08-20
G155,PAY155,2026-08-20,2560.95,CAPTURED,GW155,ORD155,2026-08-20
G103,PAY103,2026-08-20,10273.40,CAPTURED,GW103,ORD103,2026-08-20
G127,PAY127,2026-08-20,439.23,CAPTURED,GW127,ORD127,2026-08-20
G238,PAY226,2026-08-20,2385.06,CAPTURED,GW226,ORD225,2026-08-20
G199,PAY195,2026-08-20,3601.71,CAPTURED,GW195,ORD195,2026-08-20
G236,PAY224,2026-08-20,4328.40,CAPTURED,GW224,ORD223,2026-08-20
G107,PAY107,2026-08-20,1806.55,CAPTURED,GW107,ORD107,2026-08-20
G117,PAY117,2026-08-20,4581.91,CAPTURED,GW117,ORD117,2026-08-20
G019,PAY019,2026-08-20,12170.04,CAPTURED,GW019,ORD019,2026-08-20
G222,PAY214-REFUND,2026-08-20,-1053.33,REFUNDED,GW214-R,ORD214,2026-08-22
G063,PAY063,2026-08-20,8420.70,CAPTURED,GW063,ORD063,2026-08-20
G233,PAY221,2026-08-20,8626.95,CAPTURED,GW221,ORD221,2026-08-20
G007,PAY007,2026-08-20,13398.87,CAPTURED,GW007,ORD007,2026-08-20
G038,PAY038,2026-08-20,9335.02,CAPTURED,GW038,ORD038,2026-08-20
G221,PAY214,2026-08-20,3628.78,CAPTURED,GW214,ORD214,2026-08-22
G058,PAY058,2026-08-20,10977.53,CAPTURED,GW058,ORD058,2026-08-20
G208,PAY204,2026-08-20,6794.13,CAPTURED,GW204,ORD204,2026-08-20
G061,PAY061,2026-08-20,14844.42,CAPTURED,GW061,ORD061,2026-08-20
G024,PAY024,2026-08-20,2458.87,CAPTURED,GW024,ORD024,2026-08-20
G086,PAY086,2026-08-20,3406.91,CAPTURED,GW086,ORD086,2026-08-20
G159,PAY159,2026-08-20,2584.39,CAPTURED,GW159,ORD159,2026-08-20
G163,PAY163,2026-08-20,2761.63,CAPTURED,GW163,ORD163,2026-08-20
G132,PAY132,2026-08-20,4414.45,CAPTURED,GW132,ORD132,2026-08-20
G073,PAY073,2026-08-20,13164.06,CAPTURED,GW073,ORD073,2026-08-20
G022,PAY022,2026-08-20,10517.37,CAPTURED,GW022,ORD022,2026-08-20
G169,PAY167,2026-08-20,2655.61,CAPTURED,GW167,ORD167,2026-08-20
G044,PAY044,2026-08-20,4447.41,CAPTURED,GW044,ORD044,2026-08-20
G122,PAY122,2026-08-20,8159.78,CAPTURED,GW122,ORD122,2026-08-20
G240,PAY228,2026-08-20,4638.54,CAPTURED,GW228,ORD227,2026-08-20
G055,PAY055,2026-08-20,9773.33,CAPTURED,GW055,ORD055,2026-08-20
G173,PAY169,2026-08-20,5217.71,CAPTURED,GW169,ORD169,2026-08-20
G177,PAY171,2026-08-20,3881.18,CAPTURED,GW171,ORD171,2026-08-20
G114,PAY114,2026-08-20,2802.98,CAPTURED,GW114,ORD114,2026-08-20
G120,PAY120,2026-08-20,2419.66,CAPTURED,GW120,ORD120,2026-08-20
G083,PAY083,2026-08-20,8831.10,CAPTURED,GW083,ORD083,2026-08-20
G168,PAY166-REFUND,2026-08-20,-1309.86,REFUNDED,GW166-R,ORD166,2026-08-20
G241,PAY229,2026-08-20,4742.12,CAPTURED,GW229,ORD229,2026-08-20
G254,PAY242,2026-08-20,3275.53,CAPTURED,GW242,ORD242,2026-08-20
G219,PAY213,2026-08-20,6838.64,CAPTURED,GW213,ORD213,2026-08-22
G054,PAY054,2026-08-20,14059.32,CAPTURED,GW054,ORD054,2026-08-20
G074,PAY074,2026-08-20,4822.97,CAPTURED,GW074,ORD074,2026-08-20
G224,PAY215-REFUND,2026-08-20,-2847.89,REFUNDED,GW215-R,ORD215,2026-08-20
G230,PAY218-REFUND,2026-08-20,-6922.73,REFUNDED,GW218-R,ORD218,2026-08-20
G141,PAY141,2026-08-20,4976.72,CAPTURED,GW141,ORD141,2026-08-20
G204,PAY200,2026-08-20,9093.94,CAPTURED,GW200,ORD200,2026-08-20
G078,PAY078,2026-08-20,6963.95,CAPTURED,GW078,ORD078,2026-08-20
G146,PAY146,2026-08-20,4789.83,CAPTURED,GW146,ORD146,2026-08-21
G158,PAY158,2026-08-20,2254.93,CAPTURED,GW158,ORD158,2026-08-20
G045,PAY045,2026-08-20,1334.91,CAPTURED,GW045,ORD045,2026-08-20
G192,PAY188,2026-08-20,8965.92,CAPTURED,GW188,ORD188,2026-08-20
G174,PAY169-REFUND,2026-08-20,-1364.98,REFUNDED,GW169-R,ORD169,2026-08-20
G098,PAY098,2026-08-20,8007.35,CAPTURED,GW098,ORD098,2026-08-20
G228,PAY217-REFUND,2026-08-20,-7337.36,REFUNDED,GW217-R,ORD217,2026-08-20
G108,PAY108,2026-08-20,6606.26,CAPTURED,GW108,ORD108,2026-08-20
G050,PAY050,2026-08-20,5567.76,CAPTURED,GW050,ORD050,2026-08-20
G033,PAY033,2026-08-20,8112.99,CAPTURED,GW033,ORD033,2026-08-20
G142,PAY142,2026-08-20,2302.88,CAPTURED,GW142,ORD142,2026-08-20
G076,PAY076,2026-08-20,6025.13,CAPTURED,GW076,ORD076,2026-08-20
G179,PAY173,2026-08-20,7865.29,CAPTURED,GW173,ORD173,2026-08-20
G104,PAY104,2026-08-20,8124.01,CAPTURED,GW104,ORD104,2026-08-20
G084,PAY084,2026-08-20,13482.67,CAPTURED,GW084,ORD084,2026-08-20
G105,PAY105,2026-08-20,4112.35,CAPTURED,GW105,ORD105,2026-08-20
G217,PAY212,2026-08-20,6425.79,CAPTURED,GW212,ORD212,2026-08-22
G080,PAY080,2026-08-20,3812.42,CAPTURED,GW080,ORD080,2026-08-20
G130,PAY130,2026-08-20,12500.23,CAPTURED,GW130,ORD130,2026-08-20
G077,PAY077,2026-08-20,13731.03,CAPTURED,GW077,ORD077,2026-08-20
G225,PAY216,2026-08-20,4419.72,CAPTURED,GW216,ORD216,2026-08-20
G032,PAY032,2026-08-20,10986.52,CAPTURED,GW032,ORD032,2026-08-20
G259,PAY247,2026-08-20,13727.34,CAPTURED,GW247,ORD247,2026-08-20
G243,PAY231,2026-08-20,4703.80,CAPTURED,GW231,ORD231,2026-08-20
G160,PAY160,2026-08-20,5210.25,CAPTURED,GW160,ORD160,2026-08-20
G085,PAY085,2026-08-20,6081.10,CAPTURED,GW085,ORD085,2026-08-20
G171,PAY168,2026-08-20,3149.54,CAPTURED,GW168,ORD168,2026-08-20
G018,PAY018,2026-08-20,8900.60,CAPTURED,GW018,ORD018,2026-08-20
G111,PAY111,2026-08-20,13156.42,CAPTURED,GW111,ORD111,2026-08-20
G094,PAY094,2026-08-20,6419.08,CAPTURED,GW094,ORD094,2026-08-20
G051,PAY051,2026-08-20,5647.19,CAPTURED,GW051,ORD051,2026-08-20
G172,PAY168-REFUND,2026-08-20,-362.44,REFUNDED,GW168-R,ORD168,2026-08-20
G189,PAY183,2026-08-20,507.54,CAPTURED,GW183,ORD183,2026-08-20
G190,PAY185,2026-08-20,3742.81,CAPTURED,GW185,ORD185,2026-08-20
G185,PAY179,2026-08-20,2184.75,CAPTURED,GW179,ORD179,2026-08-20
G176,PAY170-REFUND,2026-08-20,-770.48,REFUNDED,GW170-R,ORD170,2026-08-20
G138,PAY138,2026-08-20,2231.06,CAPTURED,GW138,ORD138,2026-08-20
G207,PAY203,2026-08-20,7749.43,CAPTURED,GW203,ORD203,2026-08-20
G256,PAY244,2026-08-20,4614.25,CAPTURED,GW244,ORD244,2026-08-20
G001,PAY001,2026-08-20,9645.49,CAPTURED,GW001,ORD001,2026-08-20
G242,PAY230,2026-08-20,3622.60,CAPTURED,GW230,ORD229,2026-08-20
G182,PAY176,2026-08-20,9782.09,CAPTURED,GW176,ORD176,2026-08-20
G012,PAY012,2026-08-20,7654.53,CAPTURED,GW012,ORD012,2026-08-20
G066,PAY066,2026-08-20,11673.60,CAPTURED,GW066,ORD066,2026-08-20
G049,PAY049,2026-08-20,9589.91,CAPTURED,GW049,ORD049,2026-08-20
G148,PAY148,2026-08-20,1985.75,CAPTURED,GW148,ORD148,2026-08-21
G231,PAY219,2026-08-20,3144.95,CAPTURED,GW219,ORD219,2026-08-20
G099,PAY099,2026-08-20,14570.51,CAPTURED,GW099,ORD099,2026-08-20
G030,PAY030,2026-08-20,9115.33,CAPTURED,GW030,ORD030,2026-08-20
G131,PAY131,2026-08-20,1676.07,CAPTURED,GW131,ORD131,2026-08-20
G156,PAY156,2026-08-20,747.09,CAPTURED,GW156,ORD156,2026-08-20
G253,PAY241,2026-08-20,8443.23,CAPTURED,GW241,ORD241,2026-08-20
G081,PAY081,2026-08-20,8486.32,CAPTURED,GW081,ORD081,2026-08-20
G202,PAY198,2026-08-20,9373.51,CAPTURED,GW198,ORD198,2026-08-20
G187,PAY181,2026-08-20,3658.55,CAPTURED,GW181,ORD181,2026-08-20
G089,PAY089,2026-08-20,1500.00,CAPTURED,GW089,ORD089,2026-08-20
G112,PAY112,2026-08-20,4061.33,CAPTURED,GW112,ORD112,2026-08-20
G153,PAY153,2026-08-20,1609.38,CAPTURED,GW153,ORD153,2026-08-20
G028,PAY028,2026-08-20,1586.24,CAPTURED,GW028,ORD028,2026-08-20
G010,PAY010,2026-08-20,592.49,CAPTURED,GW010,ORD010,2026-08-20
G068,PAY068,2026-08-20,626.69,CAPTURED,GW068,ORD068,2026-08-20
G252,PAY240,2026-08-20,7121.08,CAPTURED,GW240,ORD240,2026-08-20
G247,PAY235,2026-08-20,7393.89,CAPTURED,GW235,ORD235,2026-08-20
G149,PAY149,2026-08-20,6905.16,CAPTURED,GW149,ORD149,2026-08-21
G046,PAY046,2026-08-20,3606.94,CAPTURED,GW046,ORD046,2026-08-20
G134,PAY134,2026-08-20,532.22,CAPTURED,GW134,ORD134,2026-08-20
G060,PAY060,2026-08-20,5784.91,CAPTURED,GW060,ORD060,2026-08-20
G015,PAY015,2026-08-20,9800.78,CAPTURED,GW015,ORD015,2026-08-20
G170,PAY167-REFUND,2026-08-20,-730.02,REFUNDED,GW167-R,ORD167,2026-08-20
G205,PAY201,2026-08-20,10004.07,CAPTURED,GW201,ORD201,2026-08-20
G180,PAY174,2026-08-20,3132.82,CAPTURED,GW174,ORD174,2026-08-20
G143,PAY143,2026-08-20,1143.83,CAPTURED,GW143,ORD143,2026-08-21
