transaction_id,expected_status,expected_category,expected_matching_tier,expected_gateway_presence,expected_bank_presence,expected_ledger_presence,expected_amount_difference,expected_date_difference,discrepancy_id
PAY034,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY035,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY036,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY037,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY038,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY039,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY040,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY041,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY042,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY043,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY044,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY045,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY046,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY047,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY048,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY049,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY050,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY051,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY052,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY053,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY054,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY055,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY056,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY057,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY058,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY059,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY060,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY061,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY062,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY063,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY064,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY065,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY066,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY067,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY068,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY069,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY070,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY071,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY072,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY073,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY074,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY075,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY076,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY077,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY078,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY079,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY080,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY081,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY082,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY083,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY084,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY085,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY086,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY087,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY088,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY089,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY090,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY091,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY092,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY093,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY094,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY095,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY096,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY097,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY098,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY099,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY100,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY101,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY102,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY103,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY104,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY105,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY106,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY107,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY108,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY109,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY110,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY111,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY112,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY113,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY114,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY115,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY116,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY117,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY118,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY119,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY120,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY121,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY122,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY123,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY124,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY125,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY126,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY127,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY128,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY129,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY130,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY131,MATCHED,ROUNDING,TIER_2,YES,YES,YES,0.01,0,DISC-PAY131-ROUNDING
PAY132,MATCHED,ROUNDING,TIER_2,YES,YES,YES,0.05,0,DISC-PAY132-ROUNDING
PAY133,MATCHED,ROUNDING,TIER_2,YES,YES,YES,0.03,0,DISC-PAY133-ROUNDING
PAY134,MATCHED,ROUNDING,TIER_2,YES,YES,YES,0.04,0,DISC-PAY134-ROUNDING
PAY135,MATCHED,ROUNDING,TIER_2,YES,YES,YES,0.02,0,DISC-PAY135-ROUNDING
PAY136,MATCHED,ROUNDING,TIER_2,YES,YES,YES,0.03,0,DISC-PAY136-ROUNDING
PAY137,MATCHED,ROUNDING,TIER_2,YES,YES,YES,0.04,0,DISC-PAY137-ROUNDING
PAY138,MATCHED,ROUNDING,TIER_2,YES,YES,YES,0.02,0,DISC-PAY138-ROUNDING
PAY139,MATCHED,ROUNDING,TIER_2,YES,YES,YES,0.04,0,DISC-PAY139-ROUNDING
PAY140,MATCHED,ROUNDING,TIER_2,YES,YES,YES,0.02,0,DISC-PAY140-ROUNDING
PAY141,MATCHED,ROUNDING,TIER_2,YES,YES,YES,0.04,0,DISC-PAY141-ROUNDING
PAY142,MATCHED,ROUNDING,TIER_2,YES,YES,YES,0.03,0,DISC-PAY142-ROUNDING
PAY143,MATCHED,SETTLEMENT_DELAY,TIER_2,YES,YES,YES,0.00,1,DISC-PAY143-TIMING
PAY144,MATCHED,SETTLEMENT_DELAY,TIER_2,YES,YES,YES,0.00,1,DISC-PAY144-TIMING
PAY145,MATCHED,SETTLEMENT_DELAY,TIER_2,YES,YES,YES,0.00,1,DISC-PAY145-TIMING
PAY146,MATCHED,SETTLEMENT_DELAY,TIER_2,YES,YES,YES,0.00,1,DISC-PAY146-TIMING
PAY147,MATCHED,SETTLEMENT_DELAY,TIER_2,YES,YES,YES,0.00,1,DISC-PAY147-TIMING
PAY148,MATCHED,SETTLEMENT_DELAY,TIER_2,YES,YES,YES,0.00,1,DISC-PAY148-TIMING
PAY149,MATCHED,SETTLEMENT_DELAY,TIER_2,YES,YES,YES,0.00,1,DISC-PAY149-TIMING
PAY150,MATCHED,SETTLEMENT_DELAY,TIER_2,YES,YES,YES,0.00,2,DISC-PAY150-TIMING
PAY151,MATCHED,SETTLEMENT_DELAY,TIER_2,YES,YES,YES,0.00,1,DISC-PAY151-TIMING
PAY152,MATCHED,SETTLEMENT_DELAY,TIER_2,YES,YES,YES,0.00,2,DISC-PAY152-TIMING
PAY153,MATCHED,REFERENCE_FORMATTING,TIER_2,YES,YES,YES,0.00,0,DISC-PAY153-REFFMT
PAY154,MATCHED,REFERENCE_FORMATTING,TIER_2,YES,YES,YES,0.00,0,DISC-PAY154-REFFMT
PAY155,MATCHED,REFERENCE_FORMATTING,TIER_2,YES,YES,YES,0.00,0,DISC-PAY155-REFFMT
PAY156,MATCHED,REFERENCE_FORMATTING,TIER_2,YES,YES,YES,0.00,0,DISC-PAY156-REFFMT
PAY157,MATCHED,REFERENCE_FORMATTING,TIER_2,YES,YES,YES,0.00,0,DISC-PAY157-REFFMT
PAY158,MATCHED,REFERENCE_FORMATTING,TIER_2,YES,YES,YES,0.00,0,DISC-PAY158-REFFMT
PAY159,MATCHED,REFERENCE_FORMATTING,TIER_2,YES,YES,YES,0.00,0,DISC-PAY159-REFFMT
PAY160,MATCHED,REFERENCE_FORMATTING,TIER_2,YES,YES,YES,0.00,0,DISC-PAY160-REFFMT
PAY161,EXCEPTION,DUPLICATE_LEDGER_ENTRY,TIER_2,YES,YES,DUPLICATE(2),0.00,0,DISC-PAY161-DUPLICATE
PAY162,EXCEPTION,DUPLICATE_LEDGER_ENTRY,TIER_2,YES,YES,DUPLICATE(2),0.00,0,DISC-PAY162-DUPLICATE
PAY163,EXCEPTION,DUPLICATE_LEDGER_ENTRY,TIER_2,YES,YES,DUPLICATE(2),0.00,0,DISC-PAY163-DUPLICATE
PAY164,EXCEPTION,DUPLICATE_LEDGER_ENTRY,TIER_2,YES,YES,DUPLICATE(2),0.00,0,DISC-PAY164-DUPLICATE
PAY165,MATCHED,PARTIAL_REFUND,TIER_2,YES(+REFUND ROW),YES(NET),YES(+REFUND ROW),870.67,0,DISC-PAY165-REFUND
PAY166,MATCHED,PARTIAL_REFUND,TIER_2,YES(+REFUND ROW),YES(NET),YES(+REFUND ROW),1309.86,0,DISC-PAY166-REFUND
PAY167,MATCHED,PARTIAL_REFUND,TIER_2,YES(+REFUND ROW),YES(NET),YES(+REFUND ROW),730.02,0,DISC-PAY167-REFUND
PAY168,MATCHED,PARTIAL_REFUND,TIER_2,YES(+REFUND ROW),YES(NET),YES(+REFUND ROW),362.44,0,DISC-PAY168-REFUND
PAY169,MATCHED,PARTIAL_REFUND,TIER_2,YES(+REFUND ROW),YES(NET),YES(+REFUND ROW),1364.98,0,DISC-PAY169-REFUND
PAY170,MATCHED,PARTIAL_REFUND,TIER_2,YES(+REFUND ROW),YES(NET),YES(+REFUND ROW),770.48,0,DISC-PAY170-REFUND
PAY171,MATCHED,TAX_LINE_MISMATCH,TIER_2,YES,YES,YES,38.81,0,DISC-PAY171-TDS
PAY172,MATCHED,TAX_LINE_MISMATCH,TIER_2,YES,YES,YES,88.69,0,DISC-PAY172-TDS
PAY173,MATCHED,TAX_LINE_MISMATCH,TIER_2,YES,YES,YES,78.65,0,DISC-PAY173-TDS
PAY174,MATCHED,TAX_LINE_MISMATCH,TIER_2,YES,YES,YES,31.33,0,DISC-PAY174-TDS
PAY175,MATCHED,TAX_LINE_MISMATCH,TIER_2,YES,YES,YES,38.39,0,DISC-PAY175-TDS
PAY176,MATCHED,TAX_LINE_MISMATCH,TIER_2,YES,YES,YES,97.82,0,DISC-PAY176-TDS
PAY177,MATCHED,TAX_LINE_MISMATCH,TIER_2,YES,YES,YES,51.27,0,DISC-PAY177-TDS
PAY178,MATCHED,TAX_LINE_MISMATCH,TIER_2,YES,YES,YES,66.58,0,DISC-PAY178-TDS
PAY179,EXCEPTION,NO_BANK_COUNTERPART,N/A,YES,NO,YES,N/A,N/A,DISC-PAY179-NOBANK
PAY180,EXCEPTION,NO_BANK_COUNTERPART,N/A,YES,NO,YES,N/A,N/A,DISC-PAY180-NOBANK
PAY181,EXCEPTION,NO_BANK_COUNTERPART,N/A,YES,NO,YES,N/A,N/A,DISC-PAY181-NOBANK
PAY182,EXCEPTION,NO_BANK_COUNTERPART,N/A,YES,NO,YES,N/A,N/A,DISC-PAY182-NOBANK
PAY183,EXCEPTION,UNMATCHED_GATEWAY_TRANSACTION,N/A,YES,NO,NO,N/A,N/A,DISC-PAY183-ORPHAN
PAY184,EXCEPTION,UNMATCHED_BANK_TRANSACTION,N/A,NO,YES,NO,N/A,N/A,DISC-PAY184-ORPHAN
PAY185,EXCEPTION,UNMATCHED_GATEWAY_TRANSACTION,N/A,YES,NO,NO,N/A,N/A,DISC-PAY185-ORPHAN
PAY186,EXCEPTION,UNMATCHED_BANK_TRANSACTION,N/A,NO,YES,NO,N/A,N/A,DISC-PAY186-ORPHAN
PAY187,MATCHED,GST_DECOMPOSITION,TIER_3,YES,YES,YES,242.62,0,DISC-PAY187-GST-DECOMP
PAY188,MATCHED,GST_DECOMPOSITION,TIER_3,YES,YES,YES,1613.87,0,DISC-PAY188-GST-DECOMP
PAY189,MATCHED,GST_DECOMPOSITION,TIER_3,YES,YES,YES,1674.91,0,DISC-PAY189-GST-DECOMP
PAY190,MATCHED,GST_DECOMPOSITION,TIER_3,YES,YES,YES,1770.05,0,DISC-PAY190-GST-DECOMP
PAY191,MATCHED,GST_DECOMPOSITION,TIER_3,YES,YES,YES,430.94,0,DISC-PAY191-GST-DECOMP
PAY192,MATCHED,GST_DECOMPOSITION,TIER_3,YES,YES,YES,1236.01,0,DISC-PAY192-GST-DECOMP
PAY193,MATCHED,GST_DECOMPOSITION,TIER_3,YES,YES,YES,467.88,0,DISC-PAY193-GST-DECOMP
PAY194,MATCHED,GST_DECOMPOSITION,TIER_3,YES,YES,YES,208.85,0,DISC-PAY194-GST-DECOMP
PAY195,MATCHED,MDR_FEE_DEDUCTION,TIER_3,YES,YES,YES,55.24,0,DISC-PAY195-MDR-FEE
PAY196,MATCHED,MDR_FEE_DEDUCTION,TIER_3,YES,YES,YES,139.92,0,DISC-PAY196-MDR-FEE
PAY197,MATCHED,MDR_FEE_DEDUCTION,TIER_3,YES,YES,YES,191.74,0,DISC-PAY197-MDR-FEE
PAY198,MATCHED,MDR_FEE_DEDUCTION,TIER_3,YES,YES,YES,241.06,0,DISC-PAY198-MDR-FEE
PAY199,MATCHED,MDR_FEE_DEDUCTION,TIER_3,YES,YES,YES,98.50,0,DISC-PAY199-MDR-FEE
PAY200,MATCHED,MDR_FEE_DEDUCTION,TIER_3,YES,YES,YES,134.08,0,DISC-PAY200-MDR-FEE
PAY201,MATCHED,SPLIT_SETTLEMENT_2_ROW,TIER_3,YES,"ESPLIT2(B195,B196)",YES,3.91,0,DISC-PAY201-SPLIT-2ROW
PAY202,MATCHED,SPLIT_SETTLEMENT_2_ROW,TIER_3,YES,"ESPLIT2(B197,B198)",YES,2.35,0,DISC-PAY202-SPLIT-2ROW
PAY203,MATCHED,SPLIT_SETTLEMENT_2_ROW,TIER_3,YES,"ESPLIT2(B199,B200)",YES,1.80,0,DISC-PAY203-SPLIT-2ROW
PAY204,MATCHED,SPLIT_SETTLEMENT_2_ROW,TIER_3,YES,"ESPLIT2(B201,B202)",YES,3.85,0,DISC-PAY204-SPLIT-2ROW
PAY205,MATCHED,SPLIT_SETTLEMENT_2_ROW,TIER_3,YES,"ESPLIT2(B203,B204)",YES,4.46,0,DISC-PAY205-SPLIT-2ROW
PAY206,MATCHED,SPLIT_SETTLEMENT_2_ROW,TIER_3,YES,"ESPLIT2(B205,B206)",YES,2.11,0,DISC-PAY206-SPLIT-2ROW
PAY207,MATCHED,SPLIT_SETTLEMENT_3_ROW,TIER_3,YES,"ESPLIT3(B207,B208,B209)",YES,3.43,0,DISC-PAY207-SPLIT-3ROW
PAY208,MATCHED,SPLIT_SETTLEMENT_3_ROW,TIER_3,YES,"ESPLIT3(B210,B211,B212)",YES,3.00,0,DISC-PAY208-SPLIT-3ROW
PAY209,MATCHED,SPLIT_SETTLEMENT_3_ROW,TIER_3,YES,"ESPLIT3(B213,B214,B215)",YES,1.39,0,DISC-PAY209-SPLIT-3ROW
PAY210,MATCHED,SPLIT_SETTLEMENT_3_ROW,TIER_3,YES,"ESPLIT3(B216,B217,B218)",YES,1.47,0,DISC-PAY210-SPLIT-3ROW
PAY211,MATCHED,DELAYED_REFUND,TIER_3,YES(+REFUND ROW),"YES(NET,DELAYED)",YES(+REFUND ROW),386.22,2,DISC-PAY211-DELAYED-REFUND
PAY212,MATCHED,DELAYED_REFUND,TIER_3,YES(+REFUND ROW),"YES(NET,DELAYED)",YES(+REFUND ROW),1167.59,2,DISC-PAY212-DELAYED-REFUND
PAY213,MATCHED,DELAYED_REFUND,TIER_3,YES(+REFUND ROW),"YES(NET,DELAYED)",YES(+REFUND ROW),2156.11,2,DISC-PAY213-DELAYED-REFUND
PAY214,MATCHED,DELAYED_REFUND,TIER_3,YES(+REFUND ROW),"YES(NET,DELAYED)",YES(+REFUND ROW),1053.33,2,DISC-PAY214-DELAYED-REFUND
PAY215,EXCEPTION,FULL_REFUND,N/A,YES(+REFUND ROW),NO(NET_ZERO),YES(+REFUND ROW),2847.89,N/A,DISC-PAY215-FULLREFUND
PAY216,EXCEPTION,FULL_REFUND,N/A,YES(+REFUND ROW),NO(NET_ZERO),YES(+REFUND ROW),4419.72,N/A,DISC-PAY216-FULLREFUND
PAY217,EXCEPTION,FULL_REFUND,N/A,YES(+REFUND ROW),NO(NET_ZERO),YES(+REFUND ROW),7337.36,N/A,DISC-PAY217-FULLREFUND
PAY218,EXCEPTION,FULL_REFUND,N/A,YES(+REFUND ROW),NO(NET_ZERO),YES(+REFUND ROW),6922.73,N/A,DISC-PAY218-FULLREFUND
PAY219,EXCEPTION,PARTIAL_PAYMENT,TIER_3,YES,YES,YES,1870.33,0,DISC-PAY219-PARTIAL-PAYMENT
PAY220,EXCEPTION,PARTIAL_PAYMENT,TIER_3,YES,YES,YES,3514.25,0,DISC-PAY220-PARTIAL-PAYMENT
PAY221,EXCEPTION,PARTIAL_PAYMENT,TIER_3,YES,YES,YES,3855.36,0,DISC-PAY221-PARTIAL-PAYMENT
PAY222,EXCEPTION,PARTIAL_PAYMENT,TIER_3,YES,YES,YES,1910.52,0,DISC-PAY222-PARTIAL-PAYMENT
PAY223,MATCHED,MULTIPLE_PAYMENTS,TIER_1,YES,YES,YES,0.00,0,DISC-PAY223-MULTIPAY
PAY224,MATCHED,MULTIPLE_PAYMENTS,TIER_1,YES,YES,YES,0.00,0,DISC-PAY224-MULTIPAY
PAY225,MATCHED,MULTIPLE_PAYMENTS,TIER_1,YES,YES,YES,0.00,0,DISC-PAY225-MULTIPAY
PAY226,MATCHED,MULTIPLE_PAYMENTS,TIER_1,YES,YES,YES,0.00,0,DISC-PAY226-MULTIPAY
PAY227,MATCHED,MULTIPLE_PAYMENTS,TIER_1,YES,YES,YES,0.00,0,DISC-PAY227-MULTIPAY
PAY228,MATCHED,MULTIPLE_PAYMENTS,TIER_1,YES,YES,YES,0.00,0,DISC-PAY228-MULTIPAY
PAY229,MATCHED,MULTIPLE_PAYMENTS,TIER_1,YES,YES,YES,0.00,0,DISC-PAY229-MULTIPAY
PAY230,MATCHED,MULTIPLE_PAYMENTS,TIER_1,YES,YES,YES,0.00,0,DISC-PAY230-MULTIPAY
PAY231,EXCEPTION,AMBIGUOUS_CANDIDATES,TIER_3,YES,"AMBIGUOUS2(B235,B236)",YES,0.00,0,DISC-PAY231-AMBIGUOUS
PAY232,EXCEPTION,AMBIGUOUS_CANDIDATES,TIER_3,YES,"AMBIGUOUS2(B237,B238)",YES,0.00,0,DISC-PAY232-AMBIGUOUS
PAY233,EXCEPTION,AMBIGUOUS_CANDIDATES,TIER_3,YES,"AMBIGUOUS2(B239,B240)",YES,0.00,0,DISC-PAY233-AMBIGUOUS
PAY234,EXCEPTION,AMBIGUOUS_CANDIDATES,TIER_3,YES,"AMBIGUOUS2(B241,B242)",YES,0.00,0,DISC-PAY234-AMBIGUOUS
PAY235,EXCEPTION,CONFLICTING_EVIDENCE,TIER_3,YES,YES,YES,1109.08,0,DISC-PAY235-CONFLICTING
PAY236,EXCEPTION,CONFLICTING_EVIDENCE,TIER_3,YES,YES,YES,1848.39,0,DISC-PAY236-CONFLICTING
PAY237,EXCEPTION,CONFLICTING_EVIDENCE,TIER_3,YES,YES,YES,913.86,0,DISC-PAY237-CONFLICTING
PAY238,EXCEPTION,CONFLICTING_EVIDENCE,TIER_3,YES,YES,YES,329.77,0,DISC-PAY238-CONFLICTING
PAY239,EXCEPTION,ADVERSARIAL_DECOY,TIER_3,YES,DECOY(B247),YES,0.00,0,DISC-PAY239-ADVERSARIAL
PAY240,EXCEPTION,ADVERSARIAL_DECOY,TIER_3,YES,DECOY(B248),YES,0.00,0,DISC-PAY240-ADVERSARIAL
PAY241,EXCEPTION,ADVERSARIAL_DECOY,TIER_3,YES,DECOY(B249),YES,0.00,0,DISC-PAY241-ADVERSARIAL
PAY242,EXCEPTION,ADVERSARIAL_DECOY,TIER_3,YES,DECOY(B250),YES,0.00,0,DISC-PAY242-ADVERSARIAL
PAY243,EXCEPTION,GST_INCORRECT,TIER_3,YES,YES,YES,229.44,0,DISC-PAY243-GST-INCORRECT
PAY244,EXCEPTION,GST_INCORRECT,TIER_3,YES,YES,YES,966.66,0,DISC-PAY244-GST-INCORRECT
PAY245,EXCEPTION,GST_INCORRECT,TIER_3,YES,YES,YES,2263.92,0,DISC-PAY245-GST-INCORRECT
PAY246,EXCEPTION,GST_INCORRECT,TIER_3,YES,YES,YES,654.66,0,DISC-PAY246-GST-INCORRECT
PAY247,EXCEPTION,LLM_RECOMMENDATION_REJECTED,TIER_3,YES,"ESPLIT-AMBIG(B255,B256,B257)",YES,2.22,0,DISC-PAY247-LLM-REJECTED
