source_row_id,bank_transaction_id,transaction_date,value_date,credit_amount,utr,bank_reference,description
B086,BANK086,2026-08-20,2026-08-20,3268.86,UTR100086,PAY086,Settlement PAY086
B046,BANK046,2026-08-20,2026-08-20,3606.94,UTR100046,GW046,Settlement PAY046
B058,BANK058,2026-08-20,2026-08-20,10977.53,UTR100058,GW058,Settlement PAY058
B047,BANK047,2026-08-20,2026-08-20,1649.87,UTR100047,GW047,Settlement PAY047
B051,BANK051,2026-08-20,2026-08-20,5647.19,UTR100051,GW051,Settlement PAY051
B014,BANK014,2026-08-20,2026-08-20,3102.74,UTR100014,GW014,Settlement PAY014
B017,BANK017,2026-08-20,2026-08-20,3423.54,UTR100017,GW017,Settlement PAY017
B071,BANK071,2026-08-20,2026-08-20,1212.67,UTR100071,GW071,Settlement PAY071
B092,BANK092,2026-08-20,2026-08-20,2379.40,UTR100092,GW092,Settlement PAY092
B091,BANK091,2026-08-20,2026-08-20,2885.99,UTR100091,GW091,Settlement PAY091
B060,BANK060,2026-08-20,2026-08-20,5784.91,UTR100060,GW060,Settlement PAY060
B043,BANK043,2026-08-20,2026-08-20,3534.29,UTR100043,GW043,Settlement PAY043
B027,BANK027,2026-08-20,2026-08-20,1527.28,UTR100027,GW027,Settlement PAY027
B006,BANK006,2026-08-20,2026-08-20,10198.99,UTR100006,GW006,Settlement PAY006
B040,BANK040,2026-08-20,2026-08-20,8723.68,UTR100040,GW040,Settlement PAY040
B003,BANK003,2026-08-20,2026-08-20,4234.19,UTR100003,GW003,Settlement PAY003
B039,BANK039,2026-08-20,2026-08-20,12946.35,UTR100039,GW039,Settlement PAY039
B083,BANK083,2026-08-22,2026-08-22,6378.22,UTR100083,GW083,Settlement PAY083
B016,BANK016,2026-08-20,2026-08-20,8242.38,UTR100016,GW016,Settlement PAY016
B090,BANK090,2026-08-20,2026-08-20,4380.19,UTR100090,gw090,Settlement PAY090
B057,BANK057,2026-08-20,2026-08-20,2691.41,UTR100057,GW057,Settlement PAY057
B061,BANK061,2026-08-20,2026-08-20,14844.42,UTR100061,GW061,Settlement PAY061
B079,BANK079,2026-08-21,2026-08-21,7979.14,UTR100079,GW079,Settlement PAY079
B026,BANK026,2026-08-20,2026-08-20,5148.43,UTR100026,GW026,Settlement PAY026
B031,BANK031,2026-08-20,2026-08-20,12135.85,UTR100031,GW031,Settlement PAY031
B069,BANK069,2026-08-20,2026-08-20,4834.48,UTR100069,GW069,Settlement PAY069
B009,BANK009,2026-08-20,2026-08-20,6415.54,UTR100009,GW009,Settlement PAY009
B024,BANK024,2026-08-20,2026-08-20,2458.87,UTR100024,GW024,Settlement PAY024
B011,BANK011,2026-08-20,2026-08-20,3396.77,UTR100011,GW011,Settlement PAY011
B066,BANK066,2026-08-20,2026-08-20,11673.60,UTR100066,GW066,Settlement PAY066
B076,BANK076,2026-08-20,2026-08-20,2894.55,UTR100076,GW076,Settlement PAY076
B021,BANK021,2026-08-20,2026-08-20,12116.42,UTR100021,GW021,Settlement PAY021
B068,BANK068,2026-08-20,2026-08-20,626.69,UTR100068,GW068,Settlement PAY068
B065,BANK065,2026-08-20,2026-08-20,12666.35,UTR100065,GW065,Settlement PAY065
B100,BANK100,2026-08-20,2026-08-20,10726.32,UTR100100,GW100,Settlement PAY100 (net of TDS)
B007,BANK007,2026-08-20,2026-08-20,13398.87,UTR100007,GW007,Settlement PAY007
B078,BANK078,2026-08-21,2026-08-21,3315.32,UTR100078,GW078,Settlement PAY078
B041,BANK041,2026-08-20,2026-08-20,10612.89,UTR100041,GW041,Settlement PAY041
B081,BANK081,2026-08-21,2026-08-21,6095.10,UTR100081,GW081,Settlement PAY081
B070,BANK070,2026-08-20,2026-08-20,4125.95,UTR100070,GW070,Settlement PAY070
B075,BANK075,2026-08-20,2026-08-20,1471.40,UTR100075,GW075,Settlement PAY075
B097,BANK097,2026-08-20,2026-08-20,3777.32,UTR100097,GW097,Settlement PAY097 (net of refund)
B099,BANK099,2026-08-20,2026-08-20,11101.51,UTR100099,GW099,Settlement PAY099 (net of TDS)
B038,BANK038,2026-08-20,2026-08-20,9335.02,UTR100038,GW038,Settlement PAY038
B025,BANK025,2026-08-20,2026-08-20,14364.61,UTR100025,GW025,Settlement PAY025
B020,BANK020,2026-08-20,2026-08-20,246.51,UTR100020,GW020,Settlement PAY020
B101,BANK101,2026-08-20,2026-08-20,5629.14,UTR100101,GW101,Settlement PAY101 (net of TDS)
B085,BANK085,2026-08-22,2026-08-22,3176.63,UTR100085,GW085,Settlement PAY085
B072,BANK072,2026-08-20,2026-08-20,4406.54,UTR100072,GW072,Settlement PAY072
B055,BANK055,2026-08-20,2026-08-20,9773.33,UTR100055,GW055,Settlement PAY055
B037,BANK037,2026-08-20,2026-08-20,12466.66,UTR100037,GW037,Settlement PAY037
B059,BANK059,2026-08-20,2026-08-20,2576.53,UTR100059,GW059,Settlement PAY059
B034,BANK034,2026-08-20,2026-08-20,14600.77,UTR100034,GW034,Settlement PAY034
B050,BANK050,2026-08-20,2026-08-20,5567.76,UTR100050,GW050,Settlement PAY050
B001,BANK001,2026-08-20,2026-08-20,9645.49,UTR100001,GW001,Settlement PAY001
B049,BANK049,2026-08-20,2026-08-20,9589.91,UTR100049,GW049,Settlement PAY049
B103,BANK106,2026-08-20,2026-08-20,2387.83,UTR100106,UNKNOWN,Unidentified inward credit
B008,BANK008,2026-08-20,2026-08-20,1441.04,UTR100008,GW008,Settlement PAY008
B052,BANK052,2026-08-20,2026-08-20,3261.18,UTR100052,GW052,Settlement PAY052
B028,BANK028,2026-08-20,2026-08-20,1586.24,UTR100028,GW028,Settlement PAY028
B062,BANK062,2026-08-20,2026-08-20,9654.00,UTR100062,GW062,Settlement PAY062
B063,BANK063,2026-08-20,2026-08-20,8420.70,UTR100063,GW063,Settlement PAY063
B053,BANK053,2026-08-20,2026-08-20,4114.62,UTR100053,GW053,Settlement PAY053
B022,BANK022,2026-08-20,2026-08-20,10517.37,UTR100022,GW022,Settlement PAY022
B104,BANK107,2026-08-20,2026-08-20,3120.50,UTR100107,GW107,Settlement ORD210-A batch credit
B105,BANK108A,2026-08-20,2026-08-20,1875.00,UTR100108A,,NEFT credit
B106,BANK108B,2026-08-20,2026-08-20,1875.00,UTR100108B,,NEFT credit
B107,BANK109A,2026-08-20,2026-08-20,4000.00,UTR100109A,GW109,Partial settlement 1 of 2 ORD240
B108,BANK109B,2026-08-21,2026-08-21,2395.50,UTR100109B,109,Balance credit
B109,BANK110,2026-08-20,2026-08-20,5000.00,UTR100110,GW110,Settlement PAY110
B110,BANK111,2026-08-20,2026-08-20,2260.75,UTR100111,,Payment received for ORD270
