source_row_id,payment_id,payment_date,amount,status,gateway_reference,customer_reference,settlement_expected_date
G048,PAY048,2026-08-20,4277.91,CAPTURED,GW048,ORD048,2026-08-20
G052,PAY052,2026-08-20,3261.18,CAPTURED,GW052,ORD052,2026-08-20
G109,PAY105,2026-08-20,3168.79,CAPTURED,GW105,ORD105,2026-08-20
G026,PAY026,2026-08-20,5148.43,CAPTURED,GW026,ORD026,2026-08-20
G070,PAY070,2026-08-20,4125.95,CAPTURED,GW070,ORD070,2026-08-20
G028,PAY028,2026-08-20,1586.24,CAPTURED,GW028,ORD028,2026-08-20
G055,PAY055,2026-08-20,9773.33,CAPTURED,GW055,ORD055,2026-08-20
G078,PAY078,2026-08-20,3315.32,CAPTURED,GW078,ORD078,2026-08-21
G108,PAY104,2026-08-20,1034.94,CAPTURED,GW104,ORD104,2026-08-20
G034,PAY034,2026-08-20,14600.77,CAPTURED,GW034,ORD034,2026-08-20
G022,PAY022,2026-08-20,10517.37,CAPTURED,GW022,ORD022,2026-08-20
G071,PAY071,2026-08-20,1212.72,CAPTURED,GW071,ORD071,2026-08-20
G061,PAY061,2026-08-20,14844.42,CAPTURED,GW061,ORD061,2026-08-20
G085,PAY085,2026-08-20,3176.63,CAPTURED,GW085,ORD085,2026-08-22
G090,PAY090,2026-08-20,4380.19,CAPTURED,GW090,ORD090,2026-08-20
G017,PAY017,2026-08-20,3423.54,CAPTURED,GW017,ORD017,2026-08-20
G069,PAY069,2026-08-20,4834.48,CAPTURED,GW069,ORD069,2026-08-20
G009,PAY009,2026-08-20,6415.54,CAPTURED,GW009,ORD009,2026-08-20
G104,PAY100,2026-08-20,10834.67,CAPTURED,GW100,ORD100,2026-08-20
G095,PAY094-REFUND,2026-08-20,-1699.73,REFUNDED,GW094-R,ORD094,2026-08-20
G011,PAY011,2026-08-20,3396.77,CAPTURED,GW011,ORD011,2026-08-20
G073,PAY073,2026-08-20,3346.11,CAPTURED,GW073,ORD073,2026-08-20
G099,PAY096-REFUND,2026-08-20,-703.63,REFUNDED,GW096-R,ORD096,2026-08-20
G008,PAY008,2026-08-20,1441.04,CAPTURED,GW008,ORD008,2026-08-20
G031,PAY031,2026-08-20,12135.85,CAPTURED,GW031,ORD031,2026-08-20
G040,PAY040,2026-08-20,8723.68,CAPTURED,GW040,ORD040,2026-08-20
G047,PAY047,2026-08-20,1649.87,CAPTURED,GW047,ORD047,2026-08-20
G015,PAY015,2026-08-20,9800.78,CAPTURED,GW015,ORD015,2026-08-20
G003,PAY003,2026-08-20,4234.19,CAPTURED,GW003,ORD003,2026-08-20
G063,PAY063,2026-08-20,8420.70,CAPTURED,GW063,ORD063,2026-08-20
G042,PAY042,2026-08-20,830.49,CAPTURED,GW042,ORD042,2026-08-20
G077,PAY077,2026-08-20,3006.01,CAPTURED,GW077,ORD077,2026-08-20
G001,PAY001,2026-08-20,9645.49,CAPTURED,GW001,ORD001,2026-08-20
G068,PAY068,2026-08-20,626.69,CAPTURED,GW068,ORD068,2026-08-20
G100,PAY097,2026-08-20,4722.34,CAPTURED,GW097,ORD097,2026-08-20
G110,PAY107,2026-08-20,3120.50,CAPTURED,GW107,ORD210-A,2026-08-20
G111,PAY107B,2026-08-20,3120.50,CAPTURED,GW107B,ORD210-B,2026-08-20
G112,PAY108,2026-08-20,1875.00,CAPTURED,GW108,ORD225,2026-08-20
G113,PAY109,2026-08-20,6400.00,CAPTURED,GW109,ORD240,2026-08-20
G114,PAY110,2026-08-20,5000.00,CAPTURED,GW110,ORD255,2026-08-20
G115,PAY111,2026-08-20,2260.75,CAPTURED,GW111,ORD270,2026-08-20
