transaction_id,expected_status,expected_category,expected_matching_tier,expected_gateway_presence,expected_bank_presence,expected_ledger_presence,expected_amount_difference,expected_date_difference,discrepancy_id
PAY034,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY035,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY036,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY037,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY038,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY039,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY040,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY041,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY042,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY043,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY044,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY045,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY046,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY047,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY048,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY049,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY050,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY051,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY052,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY053,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY054,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY055,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY056,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY057,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY058,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY059,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY060,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY061,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY062,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY063,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY064,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY065,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY066,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY067,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY068,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY069,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY070,MATCHED,NORMAL_EXACT,TIER_1,YES,YES,YES,0.00,0,
PAY071,MATCHED,ROUNDING,TIER_2,YES,YES,YES,0.05,0,DISC-PAY071-ROUNDING
PAY072,MATCHED,ROUNDING,TIER_2,YES,YES,YES,0.02,0,DISC-PAY072-ROUNDING
PAY073,MATCHED,ROUNDING,TIER_2,YES,YES,YES,0.03,0,DISC-PAY073-ROUNDING
PAY074,MATCHED,ROUNDING,TIER_2,YES,YES,YES,0.03,0,DISC-PAY074-ROUNDING
PAY075,MATCHED,ROUNDING,TIER_2,YES,YES,YES,0.02,0,DISC-PAY075-ROUNDING
PAY076,MATCHED,ROUNDING,TIER_2,YES,YES,YES,0.02,0,DISC-PAY076-ROUNDING
PAY077,MATCHED,ROUNDING,TIER_2,YES,YES,YES,0.05,0,DISC-PAY077-ROUNDING
PAY078,MATCHED,SETTLEMENT_DELAY,TIER_2,YES,YES,YES,0.00,1,DISC-PAY078-TIMING
PAY079,MATCHED,SETTLEMENT_DELAY,TIER_2,YES,YES,YES,0.00,1,DISC-PAY079-TIMING
PAY080,MATCHED,SETTLEMENT_DELAY,TIER_2,YES,YES,YES,0.00,1,DISC-PAY080-TIMING
PAY081,MATCHED,SETTLEMENT_DELAY,TIER_2,YES,YES,YES,0.00,1,DISC-PAY081-TIMING
PAY082,MATCHED,SETTLEMENT_DELAY,TIER_2,YES,YES,YES,0.00,1,DISC-PAY082-TIMING
PAY083,MATCHED,SETTLEMENT_DELAY,TIER_2,YES,YES,YES,0.00,2,DISC-PAY083-TIMING
PAY084,MATCHED,SETTLEMENT_DELAY,TIER_2,YES,YES,YES,0.00,2,DISC-PAY084-TIMING
PAY085,MATCHED,SETTLEMENT_DELAY,TIER_2,YES,YES,YES,0.00,2,DISC-PAY085-TIMING
PAY086,MATCHED,REFERENCE_FORMATTING,TIER_2,YES,YES,YES,0.00,0,DISC-PAY086-REFFMT
PAY087,MATCHED,REFERENCE_FORMATTING,TIER_2,YES,YES,YES,0.00,0,DISC-PAY087-REFFMT
PAY088,MATCHED,REFERENCE_FORMATTING,TIER_2,YES,YES,YES,0.00,0,DISC-PAY088-REFFMT
PAY089,MATCHED,REFERENCE_FORMATTING,TIER_2,YES,YES,YES,0.00,0,DISC-PAY089-REFFMT
PAY090,MATCHED,REFERENCE_FORMATTING,TIER_2,YES,YES,YES,0.00,0,DISC-PAY090-REFFMT
PAY091,EXCEPTION,DUPLICATE_LEDGER_ENTRY,TIER_2,YES,YES,DUPLICATE(2),0.00,0,DISC-PAY091-DUPLICATE
PAY092,EXCEPTION,DUPLICATE_LEDGER_ENTRY,TIER_2,YES,YES,DUPLICATE(2),0.00,0,DISC-PAY092-DUPLICATE
PAY093,EXCEPTION,DUPLICATE_LEDGER_ENTRY,TIER_2,YES,YES,DUPLICATE(2),0.00,0,DISC-PAY093-DUPLICATE
PAY094,MATCHED,PARTIAL_REFUND,TIER_2,YES(+REFUND ROW),YES(NET),YES(+REFUND ROW),1699.73,0,DISC-PAY094-REFUND
PAY095,MATCHED,PARTIAL_REFUND,TIER_2,YES(+REFUND ROW),YES(NET),YES(+REFUND ROW),734.52,0,DISC-PAY095-REFUND
PAY096,MATCHED,PARTIAL_REFUND,TIER_2,YES(+REFUND ROW),YES(NET),YES(+REFUND ROW),703.63,0,DISC-PAY096-REFUND
PAY097,MATCHED,PARTIAL_REFUND,TIER_2,YES(+REFUND ROW),YES(NET),YES(+REFUND ROW),945.02,0,DISC-PAY097-REFUND
PAY098,MATCHED,TAX_LINE_MISMATCH,TIER_2,YES,YES,YES,46.08,0,DISC-PAY098-TDS
PAY099,MATCHED,TAX_LINE_MISMATCH,TIER_2,YES,YES,YES,112.14,0,DISC-PAY099-TDS
PAY100,MATCHED,TAX_LINE_MISMATCH,TIER_2,YES,YES,YES,108.35,0,DISC-PAY100-TDS
PAY101,MATCHED,TAX_LINE_MISMATCH,TIER_2,YES,YES,YES,56.86,0,DISC-PAY101-TDS
PAY102,MATCHED,TAX_LINE_MISMATCH,TIER_2,YES,YES,YES,87.51,0,DISC-PAY102-TDS
PAY103,EXCEPTION,NO_BANK_COUNTERPART,N/A,YES,NO,YES,N/A,N/A,DISC-PAY103-NOBANK
PAY104,EXCEPTION,NO_BANK_COUNTERPART,N/A,YES,NO,YES,N/A,N/A,DISC-PAY104-NOBANK
PAY105,EXCEPTION,UNMATCHED_GATEWAY_TRANSACTION,N/A,YES,NO,NO,N/A,N/A,DISC-PAY105-ORPHAN
PAY106,EXCEPTION,UNMATCHED_BANK_TRANSACTION,N/A,NO,YES,NO,N/A,N/A,DISC-PAY106-ORPHAN
PAY107,MATCHED,LLM_AMBIGUOUS_MATCH,TIER_3,YES,YES,YES,0.00,0,DISC-PAY107-LLM-MULTIEVIDENCE
PAY108,EXCEPTION,LLM_NEEDS_HUMAN,TIER_3,YES,YES(2 CANDIDATES),YES,0.00,0,DISC-PAY108-LLM-NEEDSHUMAN
PAY109,MATCHED,LLM_AMBIGUOUS_MATCH,TIER_3,YES,"YES(SPLIT,2 ROWS)",YES,4.50,0-1,DISC-PAY109-LLM-SPLITSETTLEMENT
PAY110,EXCEPTION,LLM_NEEDS_HUMAN,TIER_3,YES,YES,YES,450.00,0,DISC-PAY110-LLM-NEEDSHUMAN
PAY111,MATCHED,LLM_AMBIGUOUS_MATCH,TIER_3,YES,YES,YES,0.00,0,DISC-PAY111-LLM-TEXTUALEVIDENCE
